Date,Surface temperature average weight,Number of cloud free observations
2007-10-01 00:00:00,259,40
2007-10-02 00:00:00,258,46
2007-10-03 00:00:00,258,46
2007-10-04 00:00:00,258,47
2007-10-05 00:00:00,257,39
2007-10-06 00:00:00,257,32
2007-10-07 00:00:00,259,28
2007-10-08 00:00:00,260,34
2007-10-09 00:00:00,261,30
2007-10-10 00:00:00,261,37
2007-10-11 00:00:00,261,33
2007-10-12 00:00:00,261,32
2007-10-13 00:00:00,261,30
2007-10-14 00:00:00,261,29
2007-10-15 00:00:00,260,24
2007-10-16 00:00:00,259,26
2007-10-17 00:00:00,258,17
2007-10-18 00:00:00,258,22
2007-10-19 00:00:00,257,27
2007-10-20 00:00:00,257,31
2007-10-21 00:00:00,255,28
2007-10-22 00:00:00,256,28
2007-10-23 00:00:00,257,34
2007-10-24 00:00:00,257,44
2007-10-25 00:00:00,256,40
2007-10-26 00:00:00,257,37
2007-10-27 00:00:00,257,39
2007-10-28 00:00:00,258,38
2007-10-29 00:00:00,257,39
2007-10-30 00:00:00,256,28
2007-10-31 00:00:00,257,19
2007-11-01 00:00:00,257,20
2007-11-02 00:00:00,255,24
2007-11-03 00:00:00,254,18
2007-11-04 00:00:00,253,18
2007-11-05 00:00:00,254,15
2007-11-06 00:00:00,254,17
2007-11-07 00:00:00,253,23
2007-11-08 00:00:00,253,22
2007-11-09 00:00:00,252,19
2007-11-10 00:00:00,252,19
2007-11-11 00:00:00,252,23
2007-11-12 00:00:00,252,26
2007-11-13 00:00:00,251,26
2007-11-14 00:00:00,252,20
2007-11-15 00:00:00,254,23
2007-11-16 00:00:00,256,27
2007-11-17 00:00:00,256,27
2007-11-18 00:00:00,257,23
2007-11-19 00:00:00,258,29
2007-11-20 00:00:00,255,38
2007-11-21 00:00:00,253,51
2007-11-22 00:00:00,251,57
2007-11-23 00:00:00,250,61
2007-11-24 00:00:00,251,64
2007-11-25 00:00:00,250,63
2007-11-26 00:00:00,250,58
2007-11-27 00:00:00,252,58
2007-11-28 00:00:00,251,56
2007-11-29 00:00:00,252,56
2007-11-30 00:00:00,252,47
2007-12-01 00:00:00,252,49
2007-12-02 00:00:00,253,58
2007-12-03 00:00:00,252,58
2007-12-04 00:00:00,252,54
2007-12-05 00:00:00,253,47
2007-12-06 00:00:00,255,42
2007-12-07 00:00:00,256,39
2007-12-08 00:00:00,255,35
2007-12-09 00:00:00,253,31
2007-12-10 00:00:00,253,25
2007-12-11 00:00:00,248,25
2007-12-12 00:00:00,243,29
2007-12-13 00:00:00,236,36
2007-12-14 00:00:00,234,49
2007-12-15 00:00:00,234,56
2007-12-16 00:00:00,234,59
2007-12-17 00:00:00,235,70
2007-12-18 00:00:00,235,63
2007-12-19 00:00:00,235,55
2007-12-20 00:00:00,237,44
2007-12-21 00:00:00,241,37
2007-12-22 00:00:00,243,32
2007-12-23 00:00:00,245,24
2007-12-24 00:00:00,246,13
2007-12-25 00:00:00,246,12
2007-12-26 00:00:00,246,11
2007-12-27 00:00:00,246,9
2007-12-28 00:00:00,-999,3
2007-12-29 00:00:00,241,6
2007-12-30 00:00:00,239,16
2007-12-31 00:00:00,237,24
2008-01-01 00:00:00,237,32
2008-01-02 00:00:00,237,37
2008-01-03 00:00:00,237,41
2008-01-04 00:00:00,237,48
2008-01-05 00:00:00,236,47
2008-01-06 00:00:00,234,48
2008-01-07 00:00:00,232,52
2008-01-08 00:00:00,232,56
2008-01-09 00:00:00,232,61
2008-01-10 00:00:00,232,68
2008-01-11 00:00:00,233,66
2008-01-12 00:00:00,234,70
2008-01-13 00:00:00,236,63
2008-01-14 00:00:00,238,52
2008-01-15 00:00:00,240,42
2008-01-16 00:00:00,243,32
2008-01-17 00:00:00,245,23
2008-01-18 00:00:00,244,27
2008-01-19 00:00:00,241,26
2008-01-20 00:00:00,241,30
2008-01-21 00:00:00,240,44
2008-01-22 00:00:00,240,55
2008-01-23 00:00:00,239,63
2008-01-24 00:00:00,239,69
2008-01-25 00:00:00,239,66
2008-01-26 00:00:00,240,64
2008-01-27 00:00:00,240,63
2008-01-28 00:00:00,240,57
2008-01-29 00:00:00,239,49
2008-01-30 00:00:00,239,43
2008-01-31 00:00:00,238,45
2008-02-01 00:00:00,237,52
2008-02-02 00:00:00,235,60
2008-02-03 00:00:00,235,62
2008-02-04 00:00:00,235,57
2008-02-05 00:00:00,235,56
2008-02-06 00:00:00,235,58
2008-02-07 00:00:00,235,52
2008-02-08 00:00:00,238,50
2008-02-09 00:00:00,241,42
2008-02-10 00:00:00,243,39
2008-02-11 00:00:00,245,43
2008-02-12 00:00:00,246,45
2008-02-13 00:00:00,248,50
2008-02-14 00:00:00,250,51
2008-02-15 00:00:00,252,45
2008-02-16 00:00:00,253,42
2008-02-17 00:00:00,254,37
2008-02-18 00:00:00,253,35
2008-02-19 00:00:00,250,35
2008-02-20 00:00:00,247,33
2008-02-21 00:00:00,245,32
2008-02-22 00:00:00,242,36
2008-02-23 00:00:00,239,40
2008-02-24 00:00:00,238,47
2008-02-25 00:00:00,238,51
2008-02-26 00:00:00,238,55
2008-02-27 00:00:00,239,52
2008-02-28 00:00:00,238,48
2008-02-29 00:00:00,238,40
2008-03-01 00:00:00,238,33
2008-03-02 00:00:00,241,29
2008-03-03 00:00:00,244,26
2008-03-04 00:00:00,248,21
2008-03-05 00:00:00,248,23
2008-03-06 00:00:00,247,28
2008-03-07 00:00:00,245,36
2008-03-08 00:00:00,245,42
2008-03-09 00:00:00,244,44
2008-03-10 00:00:00,243,43
2008-03-11 00:00:00,241,43
2008-03-12 00:00:00,236,44
2008-03-13 00:00:00,234,45
2008-03-14 00:00:00,229,43
2008-03-15 00:00:00,229,43
2008-03-16 00:00:00,228,43
2008-03-17 00:00:00,228,43
2008-03-18 00:00:00,228,40
2008-03-19 00:00:00,236,38
2008-03-20 00:00:00,238,39
2008-03-21 00:00:00,240,43
2008-03-22 00:00:00,242,47
2008-03-23 00:00:00,244,53
2008-03-24 00:00:00,247,58
2008-03-25 00:00:00,248,63
2008-03-26 00:00:00,249,60
2008-03-27 00:00:00,252,59
2008-03-28 00:00:00,254,54
2008-03-29 00:00:00,257,50
2008-03-30 00:00:00,260,40
2008-03-31 00:00:00,261,37
2008-04-01 00:00:00,261,32
2008-04-02 00:00:00,261,32
2008-04-03 00:00:00,259,29
2008-04-04 00:00:00,257,29
2008-04-05 00:00:00,253,30
2008-04-06 00:00:00,251,37
2008-04-07 00:00:00,249,35
2008-04-08 00:00:00,249,38
2008-04-09 00:00:00,249,38
2008-04-10 00:00:00,249,36
2008-04-11 00:00:00,249,40
2008-04-12 00:00:00,250,35
2008-04-13 00:00:00,251,26
2008-04-14 00:00:00,253,24
2008-04-15 00:00:00,255,19
2008-04-16 00:00:00,257,23
2008-04-17 00:00:00,257,24
2008-04-18 00:00:00,262,16
2008-04-19 00:00:00,263,15
2008-04-20 00:00:00,261,20
2008-04-21 00:00:00,261,16
2008-04-22 00:00:00,261,28
2008-04-23 00:00:00,260,27
2008-04-24 00:00:00,259,27
2008-04-25 00:00:00,259,28
2008-04-26 00:00:00,259,28
2008-04-27 00:00:00,259,24
2008-04-28 00:00:00,259,24
2008-04-29 00:00:00,259,14
2008-04-30 00:00:00,263,15
2008-05-01 00:00:00,265,21
2008-05-02 00:00:00,266,26
2008-05-03 00:00:00,266,26
2008-05-04 00:00:00,266,27
2008-05-05 00:00:00,265,31
2008-05-06 00:00:00,265,30
2008-05-07 00:00:00,265,26
2008-05-08 00:00:00,265,21
2008-05-09 00:00:00,265,20
2008-05-10 00:00:00,267,29
2008-05-11 00:00:00,267,37
2008-05-12 00:00:00,268,37
2008-05-13 00:00:00,268,36
2008-05-14 00:00:00,268,42
2008-05-15 00:00:00,268,50
2008-05-16 00:00:00,268,55
2008-05-17 00:00:00,269,55
2008-05-18 00:00:00,270,54
2008-05-19 00:00:00,270,54
2008-05-20 00:00:00,271,61
2008-05-21 00:00:00,271,55
2008-05-22 00:00:00,272,45
2008-05-23 00:00:00,273,39
2008-05-24 00:00:00,273,30
2008-05-25 00:00:00,274,21
2008-05-26 00:00:00,274,18
2008-05-27 00:00:00,276,14
2008-05-28 00:00:00,277,15
2008-05-29 00:00:00,278,16
2008-05-30 00:00:00,279,11
2008-05-31 00:00:00,280,10
2008-06-01 00:00:00,281,13
2008-06-02 00:00:00,283,19
2008-06-03 00:00:00,283,23
2008-06-04 00:00:00,283,22
2008-06-05 00:00:00,284,30
2008-06-06 00:00:00,283,39
2008-06-07 00:00:00,283,49
2008-06-08 00:00:00,284,58
2008-06-09 00:00:00,285,57
2008-06-10 00:00:00,286,49
2008-06-11 00:00:00,285,49
2008-06-12 00:00:00,284,41
2008-06-13 00:00:00,286,44
2008-06-14 00:00:00,288,41
2008-06-15 00:00:00,288,36
2008-06-16 00:00:00,288,38
2008-06-17 00:00:00,289,47
2008-06-18 00:00:00,290,56
2008-06-19 00:00:00,290,59
2008-06-20 00:00:00,291,56
2008-06-21 00:00:00,290,60
2008-06-22 00:00:00,289,62
2008-06-23 00:00:00,289,63
2008-06-24 00:00:00,289,59
2008-06-25 00:00:00,288,55
2008-06-26 00:00:00,288,58
2008-06-27 00:00:00,289,59
2008-06-28 00:00:00,290,60
2008-06-29 00:00:00,291,64
2008-06-30 00:00:00,291,62
2008-07-01 00:00:00,291,65
2008-07-02 00:00:00,291,64
2008-07-03 00:00:00,291,66
2008-07-04 00:00:00,291,58
2008-07-05 00:00:00,290,56
2008-07-06 00:00:00,289,54
2008-07-07 00:00:00,290,57
2008-07-08 00:00:00,290,51
2008-07-09 00:00:00,291,46
2008-07-10 00:00:00,290,37
2008-07-11 00:00:00,290,36
2008-07-12 00:00:00,290,27
2008-07-13 00:00:00,288,24
2008-07-14 00:00:00,285,17
2008-07-15 00:00:00,284,15
2008-07-16 00:00:00,284,14
2008-07-17 00:00:00,282,15
2008-07-18 00:00:00,284,24
2008-07-19 00:00:00,285,34
2008-07-20 00:00:00,286,33
2008-07-21 00:00:00,287,38
2008-07-22 00:00:00,288,46
2008-07-23 00:00:00,287,47
2008-07-24 00:00:00,287,47
2008-07-25 00:00:00,288,37
2008-07-26 00:00:00,286,31
