Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,238,137
2007-02-01 00:00:00,245,104
2007-03-01 00:00:00,242,93
2007-04-01 00:00:00,257,109
2007-05-01 00:00:00,261,90
2007-06-01 00:00:00,284,171
2007-07-01 00:00:00,289,173
2007-08-01 00:00:00,285,135
2007-09-01 00:00:00,274,109
2007-10-01 00:00:00,256,70
2007-11-01 00:00:00,250,87
2007-12-01 00:00:00,244,105
2008-01-01 00:00:00,236,122
2008-02-01 00:00:00,239,122
2008-03-01 00:00:00,243,131
2008-04-01 00:00:00,255,70
2008-05-01 00:00:00,269,72
2008-06-01 00:00:00,288,115
2008-07-01 00:00:00,291,116
2008-08-01 00:00:00,280,62
2008-09-01 00:00:00,273,64
2008-10-01 00:00:00,255,33
2008-11-01 00:00:00,249,86
2008-12-01 00:00:00,244,81
2009-01-01 00:00:00,238,123
2009-02-01 00:00:00,238,83
2009-03-01 00:00:00,240,116
2009-04-01 00:00:00,254,134
2009-05-01 00:00:00,268,70
2009-06-01 00:00:00,284,106
2009-07-01 00:00:00,286,122
2009-08-01 00:00:00,282,49
2009-09-01 00:00:00,276,46
2009-10-01 00:00:00,257,66
2009-11-01 00:00:00,244,107
2009-12-01 00:00:00,250,161
2010-01-01 00:00:00,237,147
2010-02-01 00:00:00,243,92
2010-03-01 00:00:00,244,126
2010-04-01 00:00:00,261,102
2010-05-01 00:00:00,266,77
2010-06-01 00:00:00,285,130
2010-07-01 00:00:00,289,74
2010-08-01 00:00:00,285,82
2010-09-01 00:00:00,279,71
2010-10-01 00:00:00,254,100
2010-11-01 00:00:00,251,49
2010-12-01 00:00:00,238,129
2011-01-01 00:00:00,241,138
2011-02-01 00:00:00,244,91
2011-03-01 00:00:00,249,172
2011-04-01 00:00:00,251,122
2011-05-01 00:00:00,266,115
2011-06-01 00:00:00,284,123
2011-07-01 00:00:00,289,102
2011-08-01 00:00:00,282,101
2011-09-01 00:00:00,279,31
2011-10-01 00:00:00,261,61
2011-11-01 00:00:00,241,86
2011-12-01 00:00:00,239,111
2012-01-01 00:00:00,233,119
2012-02-01 00:00:00,241,86
2012-03-01 00:00:00,237,128
2012-04-01 00:00:00,253,86
2012-05-01 00:00:00,268,97
2012-06-01 00:00:00,287,125
2012-07-01 00:00:00,290,112
2012-08-01 00:00:00,285,59
2012-09-01 00:00:00,274,36
2012-10-01 00:00:00,258,69
2012-11-01 00:00:00,247,92
2012-12-01 00:00:00,239,169
2013-01-01 00:00:00,243,164
2013-02-01 00:00:00,236,134
2013-03-01 00:00:00,246,106
2013-04-01 00:00:00,251,120
2013-05-01 00:00:00,265,123
2013-06-01 00:00:00,287,99
2013-07-01 00:00:00,286,78
2013-08-01 00:00:00,283,65
2013-09-01 00:00:00,273,48
2013-10-01 00:00:00,263,99
2013-11-01 00:00:00,247,99
2013-12-01 00:00:00,240,112
