Date,Surface temperature average weight,Number of cloud free observations
2005-02-01 00:00:00,244,20
2005-03-01 00:00:00,246,22
2005-04-01 00:00:00,260,15
2005-05-01 00:00:00,266,20
2005-06-01 00:00:00,276,21
2005-07-01 00:00:00,283,12
2005-08-01 00:00:00,281,14
2005-09-01 00:00:00,270,15
2005-10-01 00:00:00,-999,-999
2005-11-01 00:00:00,-999,-999
2005-12-01 00:00:00,245,15
2006-01-01 00:00:00,245,25
2006-02-01 00:00:00,246,17
2006-03-01 00:00:00,246,29
2006-04-01 00:00:00,252,23
2006-05-01 00:00:00,265,34
2006-06-01 00:00:00,277,20
2006-07-01 00:00:00,279,27
2006-08-01 00:00:00,275,23
2006-09-01 00:00:00,276,18
2006-10-01 00:00:00,264,27
2006-11-01 00:00:00,246,13
2006-12-01 00:00:00,248,15
2007-01-01 00:00:00,243,24
2007-02-01 00:00:00,244,17
2007-03-01 00:00:00,-999,15
2007-04-01 00:00:00,256,10
2007-05-01 00:00:00,-999,10
2007-06-01 00:00:00,279,19
2007-07-01 00:00:00,290,13
2007-08-01 00:00:00,286,24
2007-09-01 00:00:00,277,15
2007-10-01 00:00:00,259,25
2007-11-01 00:00:00,255,16
2007-12-01 00:00:00,244,20
2008-01-01 00:00:00,241,19
2008-02-01 00:00:00,243,21
2008-03-01 00:00:00,241,25
2008-04-01 00:00:00,-999,3
2008-05-01 00:00:00,271,15
2008-06-01 00:00:00,283,15
2008-07-01 00:00:00,286,9
2008-08-01 00:00:00,281,14
2008-09-01 00:00:00,271,15
2008-10-01 00:00:00,258,23
2008-11-01 00:00:00,254,13
2008-12-01 00:00:00,248,14
2009-01-01 00:00:00,242,15
2009-02-01 00:00:00,244,18
2009-03-01 00:00:00,243,29
2009-04-01 00:00:00,254,22
2009-05-01 00:00:00,272,18
2009-06-01 00:00:00,277,16
2009-07-01 00:00:00,284,12
2009-08-01 00:00:00,-999,5
2009-09-01 00:00:00,271,16
2009-10-01 00:00:00,260,19
2009-11-01 00:00:00,249,20
2009-12-01 00:00:00,250,21
