Date,Surface temperature average weight,Number of cloud free observations
2007-10-01 00:00:00,260,43
2007-10-02 00:00:00,260,45
2007-10-03 00:00:00,260,47
2007-10-04 00:00:00,260,46
2007-10-05 00:00:00,260,38
2007-10-06 00:00:00,260,31
2007-10-07 00:00:00,259,29
2007-10-08 00:00:00,259,26
2007-10-09 00:00:00,258,29
2007-10-10 00:00:00,258,37
2007-10-11 00:00:00,257,36
2007-10-12 00:00:00,258,38
2007-10-13 00:00:00,257,36
2007-10-14 00:00:00,258,31
2007-10-15 00:00:00,258,33
2007-10-16 00:00:00,257,32
2007-10-17 00:00:00,255,25
2007-10-18 00:00:00,255,30
2007-10-19 00:00:00,253,36
2007-10-20 00:00:00,252,43
2007-10-21 00:00:00,252,43
2007-10-22 00:00:00,252,43
2007-10-23 00:00:00,251,48
2007-10-24 00:00:00,251,53
2007-10-25 00:00:00,251,49
2007-10-26 00:00:00,252,45
2007-10-27 00:00:00,253,42
2007-10-28 00:00:00,254,43
2007-10-29 00:00:00,252,47
2007-10-30 00:00:00,252,40
2007-10-31 00:00:00,252,34
2007-11-01 00:00:00,252,35
2007-11-02 00:00:00,251,35
2007-11-03 00:00:00,250,31
2007-11-04 00:00:00,249,28
2007-11-05 00:00:00,252,22
2007-11-06 00:00:00,252,21
2007-11-07 00:00:00,251,25
2007-11-08 00:00:00,250,27
2007-11-09 00:00:00,249,24
2007-11-10 00:00:00,249,24
2007-11-11 00:00:00,249,28
2007-11-12 00:00:00,249,28
2007-11-13 00:00:00,249,30
2007-11-14 00:00:00,249,26
2007-11-15 00:00:00,252,27
2007-11-16 00:00:00,254,32
2007-11-17 00:00:00,254,33
2007-11-18 00:00:00,255,28
2007-11-19 00:00:00,256,37
2007-11-20 00:00:00,253,43
2007-11-21 00:00:00,253,51
2007-11-22 00:00:00,252,55
2007-11-23 00:00:00,251,60
2007-11-24 00:00:00,250,65
2007-11-25 00:00:00,250,66
2007-11-26 00:00:00,248,57
2007-11-27 00:00:00,247,57
2007-11-28 00:00:00,246,56
2007-11-29 00:00:00,247,56
2007-11-30 00:00:00,246,47
2007-12-01 00:00:00,249,47
2007-12-02 00:00:00,249,56
2007-12-03 00:00:00,249,61
2007-12-04 00:00:00,251,56
2007-12-05 00:00:00,252,50
2007-12-06 00:00:00,254,43
2007-12-07 00:00:00,254,40
2007-12-08 00:00:00,252,35
2007-12-09 00:00:00,251,30
2007-12-10 00:00:00,250,22
2007-12-11 00:00:00,248,21
2007-12-12 00:00:00,242,26
2007-12-13 00:00:00,236,33
2007-12-14 00:00:00,234,45
2007-12-15 00:00:00,234,50
2007-12-16 00:00:00,234,54
2007-12-17 00:00:00,234,66
2007-12-18 00:00:00,234,63
2007-12-19 00:00:00,234,53
2007-12-20 00:00:00,235,44
2007-12-21 00:00:00,238,37
2007-12-22 00:00:00,240,33
2007-12-23 00:00:00,240,26
2007-12-24 00:00:00,245,15
2007-12-25 00:00:00,245,12
2007-12-26 00:00:00,245,12
2007-12-27 00:00:00,245,10
2007-12-28 00:00:00,243,7
2007-12-29 00:00:00,240,15
2007-12-30 00:00:00,239,24
2007-12-31 00:00:00,238,30
2008-01-01 00:00:00,237,39
2008-01-02 00:00:00,237,45
2008-01-03 00:00:00,237,50
2008-01-04 00:00:00,237,53
2008-01-05 00:00:00,236,50
2008-01-06 00:00:00,233,51
2008-01-07 00:00:00,232,56
2008-01-08 00:00:00,232,57
2008-01-09 00:00:00,231,63
2008-01-10 00:00:00,232,68
2008-01-11 00:00:00,232,66
2008-01-12 00:00:00,233,64
2008-01-13 00:00:00,235,55
2008-01-14 00:00:00,236,43
2008-01-15 00:00:00,239,37
2008-01-16 00:00:00,244,25
2008-01-17 00:00:00,247,16
2008-01-18 00:00:00,245,22
2008-01-19 00:00:00,242,24
2008-01-20 00:00:00,240,29
2008-01-21 00:00:00,239,42
2008-01-22 00:00:00,236,51
2008-01-23 00:00:00,237,56
2008-01-24 00:00:00,237,62
