Date,Surface temperature average weight,Number of cloud free observations
2005-02-01 00:00:00,244,21
2005-03-01 00:00:00,245,22
2005-04-01 00:00:00,258,16
2005-05-01 00:00:00,267,21
2005-06-01 00:00:00,277,24
2005-07-01 00:00:00,283,16
2005-08-01 00:00:00,283,17
2005-09-01 00:00:00,268,18
2005-10-01 00:00:00,-999,-999
2005-11-01 00:00:00,-999,-999
2005-12-01 00:00:00,245,20
2006-01-01 00:00:00,244,23
2006-02-01 00:00:00,246,17
2006-03-01 00:00:00,244,33
2006-04-01 00:00:00,253,23
2006-05-01 00:00:00,266,31
2006-06-01 00:00:00,279,23
2006-07-01 00:00:00,282,27
2006-08-01 00:00:00,274,24
2006-09-01 00:00:00,276,19
2006-10-01 00:00:00,263,27
2006-11-01 00:00:00,245,13
2006-12-01 00:00:00,247,16
2007-01-01 00:00:00,243,23
2007-02-01 00:00:00,243,17
2007-03-01 00:00:00,249,15
2007-04-01 00:00:00,257,16
2007-05-01 00:00:00,-999,9
2007-06-01 00:00:00,282,29
2007-07-01 00:00:00,293,17
2007-08-01 00:00:00,288,25
2007-09-01 00:00:00,278,16
2007-10-01 00:00:00,255,29
2007-11-01 00:00:00,254,20
2007-12-01 00:00:00,243,23
2008-01-01 00:00:00,239,18
2008-02-01 00:00:00,245,21
2008-03-01 00:00:00,241,24
2008-04-01 00:00:00,-999,4
2008-05-01 00:00:00,271,16
2008-06-01 00:00:00,284,20
2008-07-01 00:00:00,285,12
2008-08-01 00:00:00,283,14
2008-09-01 00:00:00,271,15
2008-10-01 00:00:00,257,25
2008-11-01 00:00:00,250,14
2008-12-01 00:00:00,249,17
2009-01-01 00:00:00,241,21
2009-02-01 00:00:00,247,15
2009-03-01 00:00:00,243,31
2009-04-01 00:00:00,255,17
2009-05-01 00:00:00,275,14
2009-06-01 00:00:00,280,18
2009-07-01 00:00:00,290,20
2009-08-01 00:00:00,281,12
2009-09-01 00:00:00,270,18
2009-10-01 00:00:00,257,19
2009-11-01 00:00:00,247,20
2009-12-01 00:00:00,251,25
