Date,Surface temperature average weight,Number of cloud free observations
2000-03-01 00:00:00,244,71
2000-04-01 00:00:00,252,61
2000-05-01 00:00:00,262,53
2000-06-01 00:00:00,282,99
2000-07-01 00:00:00,286,73
2000-08-01 00:00:00,281,44
2000-09-01 00:00:00,271,55
2000-10-01 00:00:00,255,62
2000-11-01 00:00:00,249,73
2000-12-01 00:00:00,245,103
2001-01-01 00:00:00,242,90
2001-02-01 00:00:00,247,76
2001-03-01 00:00:00,243,80
2001-04-01 00:00:00,254,67
2001-05-01 00:00:00,260,58
2001-06-01 00:00:00,278,33
2001-07-01 00:00:00,286,64
2001-08-01 00:00:00,278,42
2001-09-01 00:00:00,276,65
2001-10-01 00:00:00,252,42
2001-11-01 00:00:00,248,105
2001-12-01 00:00:00,242,61
2002-01-01 00:00:00,240,113
2002-02-01 00:00:00,241,101
2002-03-01 00:00:00,244,62
2002-04-01 00:00:00,255,46
2002-05-01 00:00:00,271,89
2002-06-01 00:00:00,283,66
2002-07-01 00:00:00,288,177
2002-08-01 00:00:00,279,81
2002-09-01 00:00:00,273,116
2002-10-01 00:00:00,259,145
2002-11-01 00:00:00,254,148
2002-12-01 00:00:00,248,187
2003-01-01 00:00:00,245,238
2003-02-01 00:00:00,241,161
2003-03-01 00:00:00,244,173
2003-04-01 00:00:00,254,170
2003-05-01 00:00:00,265,111
2003-06-01 00:00:00,283,205
2003-07-01 00:00:00,287,87
2003-08-01 00:00:00,279,109
2003-09-01 00:00:00,270,97
2003-10-01 00:00:00,262,124
2003-11-01 00:00:00,248,107
2003-12-01 00:00:00,242,204
2004-01-01 00:00:00,239,254
2004-02-01 00:00:00,237,169
2004-03-01 00:00:00,242,153
2004-04-01 00:00:00,253,214
2004-05-01 00:00:00,267,161
2004-06-01 00:00:00,286,196
2004-07-01 00:00:00,288,117
2004-08-01 00:00:00,284,166
2004-09-01 00:00:00,269,93
2004-10-01 00:00:00,259,161
2004-11-01 00:00:00,248,236
2004-12-01 00:00:00,240,206
2005-01-01 00:00:00,241,167
2005-01-01 00:00:00,241,165
2005-02-01 00:00:00,241,163
2005-03-01 00:00:00,249,178
2005-04-01 00:00:00,257,163
2005-05-01 00:00:00,266,104
2005-06-01 00:00:00,281,178
2005-07-01 00:00:00,284,165
2005-08-01 00:00:00,284,129
2005-09-01 00:00:00,275,117
2005-10-01 00:00:00,259,152
2005-12-01 00:00:00,244,177
2006-01-01 00:00:00,240,157
2006-02-01 00:00:00,247,130
2006-03-01 00:00:00,243,222
2006-04-01 00:00:00,250,144
2006-05-01 00:00:00,267,132
2006-06-01 00:00:00,285,133
2006-07-01 00:00:00,286,174
2006-08-01 00:00:00,281,93
2006-09-01 00:00:00,278,131
2006-10-01 00:00:00,265,119
2006-11-01 00:00:00,244,151
2006-12-01 00:00:00,247,118
2007-01-01 00:00:00,239,187
2007-02-01 00:00:00,245,172
2007-03-01 00:00:00,242,163
2007-04-01 00:00:00,256,190
2007-05-01 00:00:00,261,151
2007-06-01 00:00:00,283,253
2007-07-01 00:00:00,289,241
2007-08-01 00:00:00,285,199
2007-09-01 00:00:00,275,172
2007-10-01 00:00:00,255,162
2007-11-01 00:00:00,250,161
2007-12-01 00:00:00,243,165
2008-01-01 00:00:00,236,211
2008-02-01 00:00:00,241,185
2008-03-01 00:00:00,243,184
2008-04-01 00:00:00,255,123
2008-05-01 00:00:00,269,134
2008-06-01 00:00:00,288,185
2008-07-01 00:00:00,290,165
2008-08-01 00:00:00,279,109
2008-09-01 00:00:00,272,109
2008-10-01 00:00:00,257,88
2008-11-01 00:00:00,247,150
2008-12-01 00:00:00,245,137
2009-01-01 00:00:00,240,204
2009-02-01 00:00:00,241,150
2009-03-01 00:00:00,241,179
2009-04-01 00:00:00,255,194
2009-05-01 00:00:00,270,130
2009-06-01 00:00:00,283,171
2009-07-01 00:00:00,287,180
2009-08-01 00:00:00,280,116
2009-09-01 00:00:00,273,104
2009-10-01 00:00:00,258,128
2009-11-01 00:00:00,244,168
2009-12-01 00:00:00,250,220
2010-01-01 00:00:00,239,217
2010-02-01 00:00:00,243,166
2010-03-01 00:00:00,245,196
2010-04-01 00:00:00,261,155
2010-05-01 00:00:00,266,133
2010-06-01 00:00:00,285,203
2010-07-01 00:00:00,287,139
2010-08-01 00:00:00,285,121
2010-09-01 00:00:00,278,168
2010-10-01 00:00:00,254,177
2010-11-01 00:00:00,254,64
2010-12-01 00:00:00,239,110
2011-01-01 00:00:00,242,109
2011-02-01 00:00:00,245,77
2011-03-01 00:00:00,249,135
2011-04-01 00:00:00,251,115
2011-05-01 00:00:00,268,96
2011-06-01 00:00:00,284,69
2011-07-01 00:00:00,287,70
2011-08-01 00:00:00,282,72
2011-09-01 00:00:00,277,44
2011-10-01 00:00:00,261,65
