Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,240,50
2007-02-01 00:00:00,248,59
2007-03-01 00:00:00,244,31
2007-04-01 00:00:00,257,55
2007-05-01 00:00:00,263,36
2007-06-01 00:00:00,275,26
2007-07-01 00:00:00,281,44
2007-08-01 00:00:00,279,46
2007-09-01 00:00:00,275,20
2007-10-01 00:00:00,261,19
2007-11-01 00:00:00,257,21
2007-12-01 00:00:00,250,34
2008-01-01 00:00:00,240,36
2008-02-01 00:00:00,243,42
2008-03-01 00:00:00,244,113
2008-04-01 00:00:00,257,50
2008-05-01 00:00:00,270,51
2008-06-01 00:00:00,278,61
2008-07-01 00:00:00,282,44
2008-08-01 00:00:00,275,15
2008-09-01 00:00:00,272,18
2008-10-01 00:00:00,261,15
2008-11-01 00:00:00,253,27
2008-12-01 00:00:00,249,41
2009-01-01 00:00:00,241,65
2009-02-01 00:00:00,242,50
2009-03-01 00:00:00,242,87
2009-04-01 00:00:00,254,97
2009-05-01 00:00:00,268,77
2009-06-01 00:00:00,274,13
2009-07-01 00:00:00,278,34
2009-08-01 00:00:00,279,20
2009-09-01 00:00:00,276,19
2009-10-01 00:00:00,262,32
2009-11-01 00:00:00,249,22
2009-12-01 00:00:00,250,59
2010-01-01 00:00:00,241,49
2010-02-01 00:00:00,243,48
2010-03-01 00:00:00,247,93
2010-04-01 00:00:00,258,91
2010-05-01 00:00:00,262,42
2010-06-01 00:00:00,276,16
2010-07-01 00:00:00,280,37
2010-08-01 00:00:00,280,31
2010-09-01 00:00:00,275,25
2010-10-01 00:00:00,262,28
2010-11-01 00:00:00,256,24
2010-12-01 00:00:00,240,65
2011-01-01 00:00:00,245,76
2011-02-01 00:00:00,244,61
2011-03-01 00:00:00,248,139
2011-04-01 00:00:00,251,120
2011-05-01 00:00:00,265,97
2011-06-01 00:00:00,273,17
2011-07-01 00:00:00,281,41
2011-08-01 00:00:00,278,17
2011-09-01 00:00:00,272,10
2011-10-01 00:00:00,259,20
2011-11-01 00:00:00,246,26
2011-12-01 00:00:00,241,45
2012-01-01 00:00:00,236,37
2012-02-01 00:00:00,242,37
2012-03-01 00:00:00,238,78
2012-04-01 00:00:00,254,69
2012-05-01 00:00:00,269,32
2012-06-01 00:00:00,279,25
2012-07-01 00:00:00,282,56
2012-08-01 00:00:00,280,32
2012-09-01 00:00:00,273,21
2012-10-01 00:00:00,264,29
2012-11-01 00:00:00,250,28
2012-12-01 00:00:00,243,74
2013-01-01 00:00:00,243,78
2013-02-01 00:00:00,239,71
2013-03-01 00:00:00,248,95
2013-04-01 00:00:00,250,116
2013-05-01 00:00:00,262,86
2013-06-01 00:00:00,275,28
2013-07-01 00:00:00,279,53
2013-08-01 00:00:00,278,27
2013-09-01 00:00:00,270,24
2013-10-01 00:00:00,266,42
2013-11-01 00:00:00,253,36
2013-12-01 00:00:00,248,54
