Date,Surface temperature average weight,Number of cloud free observations
2007-10-01 00:00:00,-999,27
2007-10-02 00:00:00,263,33
2007-10-03 00:00:00,263,33
2007-10-04 00:00:00,263,32
2007-10-05 00:00:00,263,29
2007-10-06 00:00:00,262,25
2007-10-07 00:00:00,262,21
2007-10-08 00:00:00,263,21
2007-10-09 00:00:00,264,18
2007-10-10 00:00:00,264,21
2007-10-11 00:00:00,264,21
2007-10-12 00:00:00,264,18
2007-10-13 00:00:00,265,17
2007-10-14 00:00:00,264,21
2007-10-15 00:00:00,264,20
2007-10-16 00:00:00,264,18
2007-10-17 00:00:00,263,13
2007-10-18 00:00:00,261,13
2007-10-19 00:00:00,261,15
2007-10-20 00:00:00,260,19
2007-10-21 00:00:00,259,15
2007-10-22 00:00:00,259,15
2007-10-23 00:00:00,259,15
2007-10-24 00:00:00,259,17
2007-10-25 00:00:00,259,15
2007-10-26 00:00:00,259,16
2007-10-27 00:00:00,259,19
2007-10-28 00:00:00,259,18
2007-10-29 00:00:00,259,16
2007-10-30 00:00:00,258,18
2007-10-31 00:00:00,258,15
2007-11-01 00:00:00,257,18
2007-11-02 00:00:00,256,19
2007-11-03 00:00:00,255,12
2007-11-04 00:00:00,255,13
2007-11-05 00:00:00,255,14
2007-11-06 00:00:00,257,14
2007-11-07 00:00:00,257,14
2007-11-08 00:00:00,258,12
2007-11-09 00:00:00,259,9
2007-11-10 00:00:00,259,9
2007-11-11 00:00:00,259,8
2007-11-12 00:00:00,256,11
2007-11-13 00:00:00,255,10
2007-11-14 00:00:00,254,14
2007-11-15 00:00:00,254,13
2007-11-16 00:00:00,256,16
2007-11-17 00:00:00,256,16
2007-11-18 00:00:00,257,20
2007-11-19 00:00:00,258,27
2007-11-20 00:00:00,258,37
2007-11-21 00:00:00,256,47
2007-11-22 00:00:00,255,55
2007-11-23 00:00:00,255,57
2007-11-24 00:00:00,255,61
2007-11-25 00:00:00,255,58
2007-11-26 00:00:00,254,50
2007-11-27 00:00:00,255,50
2007-11-28 00:00:00,257,46
2007-11-29 00:00:00,256,47
2007-11-30 00:00:00,255,47
2007-12-01 00:00:00,255,46
2007-12-02 00:00:00,255,53
2007-12-03 00:00:00,255,51
2007-12-04 00:00:00,253,42
2007-12-05 00:00:00,254,39
2007-12-06 00:00:00,256,35
2007-12-07 00:00:00,257,31
2007-12-08 00:00:00,256,30
2007-12-09 00:00:00,255,23
2007-12-10 00:00:00,255,21
2007-12-11 00:00:00,250,24
2007-12-12 00:00:00,244,26
2007-12-13 00:00:00,240,26
2007-12-14 00:00:00,238,37
2007-12-15 00:00:00,236,43
2007-12-16 00:00:00,237,48
2007-12-17 00:00:00,238,59
2007-12-18 00:00:00,238,54
2007-12-19 00:00:00,239,46
2007-12-20 00:00:00,239,40
2007-12-21 00:00:00,242,35
2007-12-22 00:00:00,244,28
2007-12-23 00:00:00,244,22
2007-12-24 00:00:00,244,11
2007-12-25 00:00:00,244,10
2007-12-26 00:00:00,244,10
2007-12-27 00:00:00,244,10
2007-12-28 00:00:00,-999,2
2007-12-29 00:00:00,245,6
2007-12-30 00:00:00,241,16
2007-12-31 00:00:00,239,23
2008-01-01 00:00:00,238,31
2008-01-02 00:00:00,237,39
2008-01-03 00:00:00,237,44
2008-01-04 00:00:00,237,50
2008-01-05 00:00:00,237,47
2008-01-06 00:00:00,235,51
2008-01-07 00:00:00,234,55
2008-01-08 00:00:00,233,59
2008-01-09 00:00:00,233,60
2008-01-10 00:00:00,233,66
2008-01-11 00:00:00,233,61
2008-01-12 00:00:00,235,70
2008-01-13 00:00:00,236,60
2008-01-14 00:00:00,237,49
2008-01-15 00:00:00,242,45
2008-01-16 00:00:00,245,35
2008-01-17 00:00:00,248,24
2008-01-18 00:00:00,246,31
2008-01-19 00:00:00,244,28
2008-01-20 00:00:00,243,31
2008-01-21 00:00:00,241,43
2008-01-22 00:00:00,240,48
2008-01-23 00:00:00,240,55
2008-01-24 00:00:00,240,65
2008-01-25 00:00:00,239,58
2008-01-26 00:00:00,241,61
2008-01-27 00:00:00,241,60
2008-01-28 00:00:00,241,57
2008-01-29 00:00:00,239,48
2008-01-30 00:00:00,239,42
2008-01-31 00:00:00,238,41
2008-02-01 00:00:00,237,53
2008-02-02 00:00:00,234,56
2008-02-03 00:00:00,234,60
2008-02-04 00:00:00,234,53
2008-02-05 00:00:00,234,55
2008-02-06 00:00:00,235,59
2008-02-07 00:00:00,236,58
2008-02-08 00:00:00,238,50
2008-02-09 00:00:00,241,46
2008-02-10 00:00:00,243,40
2008-02-11 00:00:00,244,42
2008-02-12 00:00:00,244,39
2008-02-13 00:00:00,246,42
2008-02-14 00:00:00,248,36
2008-02-15 00:00:00,249,36
2008-02-16 00:00:00,251,29
2008-02-17 00:00:00,252,25
2008-02-18 00:00:00,253,22
2008-02-19 00:00:00,250,25
2008-02-20 00:00:00,245,25
2008-02-21 00:00:00,245,30
2008-02-22 00:00:00,243,34
2008-02-23 00:00:00,240,38
2008-02-24 00:00:00,239,46
2008-02-25 00:00:00,238,56
2008-02-26 00:00:00,238,61
2008-02-27 00:00:00,239,59
2008-02-28 00:00:00,239,55
2008-02-29 00:00:00,239,50
2008-03-01 00:00:00,240,47
2008-03-02 00:00:00,241,40
2008-03-03 00:00:00,243,34
2008-03-04 00:00:00,246,28
2008-03-05 00:00:00,246,32
2008-03-06 00:00:00,244,39
2008-03-07 00:00:00,244,44
2008-03-08 00:00:00,243,47
2008-03-09 00:00:00,243,53
2008-03-10 00:00:00,242,56
2008-03-11 00:00:00,242,56
2008-03-12 00:00:00,240,53
2008-03-13 00:00:00,239,50
2008-03-14 00:00:00,238,47
2008-03-15 00:00:00,238,46
2008-03-16 00:00:00,238,47
2008-03-17 00:00:00,237,49
2008-03-18 00:00:00,237,49
2008-03-19 00:00:00,238,47
2008-03-20 00:00:00,239,48
2008-03-21 00:00:00,240,50
2008-03-22 00:00:00,242,55
2008-03-23 00:00:00,243,61
2008-03-24 00:00:00,245,63
2008-03-25 00:00:00,247,64
