Date,Surface temperature average weight,Number of cloud free observations
2007-10-01 00:00:00,259,35
2007-10-02 00:00:00,259,38
2007-10-03 00:00:00,259,40
2007-10-04 00:00:00,259,37
2007-10-05 00:00:00,259,32
2007-10-06 00:00:00,259,24
2007-10-07 00:00:00,258,19
2007-10-08 00:00:00,257,18
2007-10-09 00:00:00,256,22
2007-10-10 00:00:00,256,32
2007-10-11 00:00:00,256,34
2007-10-12 00:00:00,256,35
2007-10-13 00:00:00,256,36
2007-10-14 00:00:00,257,37
2007-10-15 00:00:00,257,35
2007-10-16 00:00:00,257,32
2007-10-17 00:00:00,254,27
2007-10-18 00:00:00,254,30
2007-10-19 00:00:00,252,37
2007-10-20 00:00:00,252,42
2007-10-21 00:00:00,252,41
2007-10-22 00:00:00,251,39
2007-10-23 00:00:00,251,43
2007-10-24 00:00:00,251,46
2007-10-25 00:00:00,251,44
2007-10-26 00:00:00,252,39
2007-10-27 00:00:00,253,37
2007-10-28 00:00:00,253,39
2007-10-29 00:00:00,252,45
2007-10-30 00:00:00,252,38
2007-10-31 00:00:00,253,32
2007-11-01 00:00:00,252,32
2007-11-02 00:00:00,252,30
2007-11-03 00:00:00,251,26
2007-11-04 00:00:00,251,23
2007-11-05 00:00:00,252,18
2007-11-06 00:00:00,252,20
2007-11-07 00:00:00,252,24
2007-11-08 00:00:00,252,26
2007-11-09 00:00:00,251,25
2007-11-10 00:00:00,251,25
2007-11-11 00:00:00,251,29
2007-11-12 00:00:00,251,30
2007-11-13 00:00:00,250,30
2007-11-14 00:00:00,249,25
2007-11-15 00:00:00,252,28
2007-11-16 00:00:00,254,35
2007-11-17 00:00:00,254,35
2007-11-18 00:00:00,255,30
2007-11-19 00:00:00,257,37
2007-11-20 00:00:00,257,42
2007-11-21 00:00:00,256,48
2007-11-22 00:00:00,255,50
2007-11-23 00:00:00,254,53
2007-11-24 00:00:00,254,56
2007-11-25 00:00:00,254,56
2007-11-26 00:00:00,252,47
2007-11-27 00:00:00,250,47
2007-11-28 00:00:00,250,48
2007-11-29 00:00:00,250,48
2007-11-30 00:00:00,249,38
2007-12-01 00:00:00,251,42
2007-12-02 00:00:00,252,50
2007-12-03 00:00:00,252,55
2007-12-04 00:00:00,253,51
2007-12-05 00:00:00,254,42
2007-12-06 00:00:00,255,33
2007-12-07 00:00:00,255,32
2007-12-08 00:00:00,253,26
2007-12-09 00:00:00,251,22
2007-12-10 00:00:00,250,15
2007-12-11 00:00:00,248,13
2007-12-12 00:00:00,241,23
2007-12-13 00:00:00,236,31
2007-12-14 00:00:00,234,43
2007-12-15 00:00:00,234,47
2007-12-16 00:00:00,233,52
2007-12-17 00:00:00,234,63
2007-12-18 00:00:00,234,61
2007-12-19 00:00:00,234,49
2007-12-20 00:00:00,235,42
2007-12-21 00:00:00,239,40
2007-12-22 00:00:00,240,38
2007-12-23 00:00:00,241,32
2007-12-24 00:00:00,243,22
2007-12-25 00:00:00,242,22
2007-12-26 00:00:00,242,22
2007-12-27 00:00:00,242,19
2007-12-28 00:00:00,242,11
2007-12-29 00:00:00,240,20
2007-12-30 00:00:00,239,25
2007-12-31 00:00:00,238,29
2008-01-01 00:00:00,237,36
2008-01-02 00:00:00,237,39
2008-01-03 00:00:00,237,44
2008-01-04 00:00:00,237,48
2008-01-05 00:00:00,236,44
2008-01-06 00:00:00,233,48
2008-01-07 00:00:00,233,54
2008-01-08 00:00:00,232,55
2008-01-09 00:00:00,232,64
2008-01-10 00:00:00,232,66
2008-01-11 00:00:00,234,67
2008-01-12 00:00:00,235,65
2008-01-13 00:00:00,236,53
2008-01-14 00:00:00,239,44
2008-01-15 00:00:00,242,36
2008-01-16 00:00:00,248,24
2008-01-17 00:00:00,249,19
2008-01-18 00:00:00,246,21
2008-01-19 00:00:00,241,24
2008-01-20 00:00:00,241,31
2008-01-21 00:00:00,240,40
2008-01-22 00:00:00,239,49
2008-01-23 00:00:00,240,54
2008-01-24 00:00:00,240,57
2008-01-25 00:00:00,239,48
2008-01-26 00:00:00,241,45
2008-01-27 00:00:00,241,43
2008-01-28 00:00:00,240,41
2008-01-29 00:00:00,240,33
2008-01-30 00:00:00,239,29
2008-01-31 00:00:00,238,36
2008-02-01 00:00:00,237,47
2008-02-02 00:00:00,236,52
2008-02-03 00:00:00,234,59
2008-02-04 00:00:00,234,54
2008-02-05 00:00:00,234,57
2008-02-06 00:00:00,234,58
2008-02-07 00:00:00,235,49
2008-02-08 00:00:00,237,47
2008-02-09 00:00:00,239,43
2008-02-10 00:00:00,243,33
2008-02-11 00:00:00,245,37
2008-02-12 00:00:00,248,38
2008-02-13 00:00:00,250,46
2008-02-14 00:00:00,252,47
2008-02-15 00:00:00,254,42
2008-02-16 00:00:00,256,37
2008-02-17 00:00:00,256,38
2008-02-18 00:00:00,255,33
2008-02-19 00:00:00,251,33
2008-02-20 00:00:00,247,33
2008-02-21 00:00:00,245,34
2008-02-22 00:00:00,243,37
2008-02-23 00:00:00,241,41
2008-02-24 00:00:00,239,45
2008-02-25 00:00:00,240,49
2008-02-26 00:00:00,241,52
2008-02-27 00:00:00,242,45
2008-02-28 00:00:00,242,41
2008-02-29 00:00:00,242,37
2008-03-01 00:00:00,243,31
2008-03-02 00:00:00,246,26
2008-03-03 00:00:00,246,28
2008-03-04 00:00:00,245,27
2008-03-05 00:00:00,243,34
2008-03-06 00:00:00,242,42
2008-03-07 00:00:00,241,45
2008-03-08 00:00:00,240,52
2008-03-09 00:00:00,239,60
2008-03-10 00:00:00,238,60
2008-03-11 00:00:00,236,59
2008-03-12 00:00:00,235,55
2008-03-13 00:00:00,234,52
2008-03-14 00:00:00,233,52
2008-03-15 00:00:00,233,55
2008-03-16 00:00:00,233,55
2008-03-17 00:00:00,233,52
2008-03-18 00:00:00,234,47
2008-03-19 00:00:00,235,48
2008-03-20 00:00:00,236,52
2008-03-21 00:00:00,239,57
2008-03-22 00:00:00,242,59
2008-03-23 00:00:00,245,60
2008-03-24 00:00:00,247,62
2008-03-25 00:00:00,250,68
2008-03-26 00:00:00,251,61
2008-03-27 00:00:00,254,57
2008-03-28 00:00:00,256,47
2008-03-29 00:00:00,260,41
2008-03-30 00:00:00,263,32
2008-03-31 00:00:00,264,26
2008-04-01 00:00:00,264,20
2008-04-02 00:00:00,264,21
2008-04-03 00:00:00,259,20
2008-04-04 00:00:00,256,27
2008-04-05 00:00:00,252,29
2008-04-06 00:00:00,250,37
2008-04-07 00:00:00,250,45
2008-04-08 00:00:00,250,46
2008-04-09 00:00:00,249,46
2008-04-10 00:00:00,250,42
2008-04-11 00:00:00,250,41
2008-04-12 00:00:00,251,35
2008-04-13 00:00:00,252,25
2008-04-14 00:00:00,255,17
2008-04-15 00:00:00,256,15
2008-04-16 00:00:00,259,21
2008-04-17 00:00:00,260,21
2008-04-18 00:00:00,264,16
2008-04-19 00:00:00,264,17
2008-04-20 00:00:00,263,20
2008-04-21 00:00:00,263,21
2008-04-22 00:00:00,263,28
2008-04-23 00:00:00,261,28
2008-04-24 00:00:00,260,30
2008-04-25 00:00:00,260,30
2008-04-26 00:00:00,260,31
2008-04-27 00:00:00,260,29
2008-04-28 00:00:00,260,30
2008-04-29 00:00:00,259,22
2008-04-30 00:00:00,260,17
2008-05-01 00:00:00,263,19
2008-05-02 00:00:00,263,18
2008-05-03 00:00:00,264,14
2008-05-04 00:00:00,264,15
2008-05-05 00:00:00,266,12
2008-05-06 00:00:00,265,12
2008-05-07 00:00:00,265,13
2008-05-08 00:00:00,264,10
2008-05-09 00:00:00,265,15
2008-05-10 00:00:00,267,27
2008-05-11 00:00:00,268,31
2008-05-12 00:00:00,268,37
2008-05-13 00:00:00,268,40
2008-05-14 00:00:00,269,42
2008-05-15 00:00:00,269,51
2008-05-16 00:00:00,270,57
2008-05-17 00:00:00,271,55
2008-05-18 00:00:00,271,56
2008-05-19 00:00:00,271,53
2008-05-20 00:00:00,272,57
2008-05-21 00:00:00,272,53
2008-05-22 00:00:00,273,42
2008-05-23 00:00:00,274,34
2008-05-24 00:00:00,274,24
2008-05-25 00:00:00,273,18
2008-05-26 00:00:00,274,17
2008-05-27 00:00:00,276,14
2008-05-28 00:00:00,275,13
2008-05-29 00:00:00,277,14
2008-05-30 00:00:00,280,10
2008-05-31 00:00:00,280,14
2008-06-01 00:00:00,283,21
2008-06-02 00:00:00,285,28
2008-06-03 00:00:00,285,25
2008-06-04 00:00:00,286,27
2008-06-05 00:00:00,286,37
2008-06-06 00:00:00,286,41
2008-06-07 00:00:00,286,48
2008-06-08 00:00:00,287,52
