Time,Air,-0.14m,-0.12m,-0.1m,-0.06m,-0.05m,-0.04m,-0.02m,-0.01m,0.0m,0.002m,0.01m,0.02m,0.03m,0.034m,0.04m,0.05m,0.07m,0.08m,0.09m,0.1m,0.104m,0.11m,0.12m,0.13m,0.14m,0.15m,0.16m,0.17m,0.18m,0.184m,0.19m,0.2m,0.22m,0.23m,0.24m,0.25m,0.254m,0.26m,0.27m,0.28m,0.29m,0.3m,0.31m,0.32m,0.33m,0.334m,0.34m,0.35m,0.36m,0.37m,0.39m,0.4m,0.41m,0.414m,0.42m,0.43m,0.45m,0.46m,0.47m,0.484m,0.49m,0.51m,0.52m,0.53m,0.54m,0.55m,0.56m,0.57m,0.58m,0.59m,0.6m,0.61m,0.62m,0.64m,0.644m,0.65m,0.68m,0.69m,0.7m,0.71m,0.72m,0.73m,0.74m,0.8m,0.84m,0.85m,0.89m,0.91m,0.92m
2007-05-01,-7.8803709677418965,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-6.804438709677356,-6.905922580645154,-7.472999999999956,-7.007406451612894,-6.932983870967689,-7.210374193548375,-7.250967741935369,-7.343788018433202,-7.498488479262676,-7.807889400921681,-7.953124476330061,-8.003999999999962,-8.271990783410104,-8.33387096774186,3.7652379032257954,-8.413154838709659,-8.462707258064484,-8.512259677419252,-8.56181209677419,-8.473353629032204,-8.382677419354764,-8.710469354838665,-8.730290322580686,-8.747267281105962,-8.775562211981594,-8.832152073732686,-8.860447004608261,-8.662338709677385,-8.702290322580552,-8.928354838709652,-8.94469516129027,-8.97192903225806,-8.999162903225795,-9.026396774193586,-9.053630645161263,-8.944401075268786,-9.00625806451609,0.03941935483874204,-9.146225806451582,1.2300604838709432,-9.173690322580569,-9.190855645161264,-9.208020967741902,-9.23375040322577,-9.25641935483867,-9.276682258064454,-9.2835483870968,-9.293966820276466,-9.311330875576061,-9.346058986175194,-9.398925806451587,-9.464096774193592,-9.405096774193453,1.2959870967742404,-1.2633333333332644,-9.455090322580702,-9.468977419354758,-9.696169354838673,-9.729322580645203,-9.51063870967738,-0.5556451612903857,-9.538412903225776,-9.552300000000002,-1.7649999999999864,-9.580074193548398,-9.593961290322568,0.21689677419351483,-9.627290322580563,-2.004166666666663,-9.692043870967666,-10.131318279569882,-10.160032258064462,-0.820826612903204,-9.763992258064604,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-02,-7.339686958029793,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-6.624662903225743,-6.728316830294522,-7.065798924731141,-6.851610425432437,-6.773300603586404,-7.048835021371791,-7.080740182328077,-7.174515427770008,-7.352462833099582,-7.643391654978983,-7.574118945813061,-7.6289537634408235,-8.134543606616877,-8.174411911440519,3.7652379032257954,-8.2578955920657,-8.333312949559174,-8.362250192847023,-8.4131039358345,-8.135621791536542,-8.055364169268048,-8.588320519434939,-8.586006661991625,-8.606046327138822,-8.656416549789649,-8.693384992987346,-8.722517619214553,-8.363196331945856,-8.407172355185478,-8.792435922159862,-8.820822965504522,-8.85214268057503,-8.883092671809244,-8.893535080645197,-8.921618180224376,-8.668447430751666,-8.734121782865031,0.03941935483874204,-9.016376617912211,1.2300604838709432,-9.059327855139175,-9.064553154427944,-9.080856293828859,-8.974237890218486,-8.999027332639573,-9.165481613153615,-9.15911818899021,-9.183271145248916,-9.187891576086981,-9.223858309958002,-9.151373668301842,-9.216848491155089,-9.285001757538476,1.2959870967742404,-1.2633333333332644,-9.337360882713941,-9.351905084151394,-9.456076526187964,-9.490251959764173,-9.404742426367422,-0.5556451612903857,-9.425962879850367,-9.440774438990186,-1.7649999999999864,-9.470397557269763,-9.485209116409525,0.21689677419351483,-9.52075685834494,-2.004166666666663,-9.588678036465563,-9.906956901375871,-9.936721540062381,-0.820826612903204,-9.664040147119069,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-03,-6.799002948317688,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-6.4448870967741305,-6.550711079943891,-6.658597849462324,-6.695814399251979,-6.613617336205118,-6.8872958491952065,-6.910512622720784,-7.005242837106815,-7.206437186936489,-7.478893909036285,-7.195113415296061,-7.253907526881685,-7.997096429823651,-8.014952855139176,3.7652379032257954,-8.102636345421741,-8.203918641053866,-8.212240708274793,-8.264395774894806,-7.797889954040879,-7.728050919181332,-8.466171684031211,-8.441723001402565,-8.46482537317168,-8.537270887597703,-8.554617912242003,-8.584588233820844,-8.064053954214327,-8.112054387790405,-8.656517005610073,-8.696950769718773,-8.732356328892001,-8.767022440392694,-8.76067338709681,-8.789605715287491,-8.392493786234546,-8.461985501213974,0.03941935483874204,-8.886527429372842,1.2300604838709432,-8.944965387697783,-8.938250663694625,-8.953691619915817,-8.714725377211202,-8.741635310440476,-9.054280968242777,-9.034687990883617,-9.072575470221366,-9.064452276597901,-9.101657633740812,-8.903821530152095,-8.969600208116585,-9.164906740883497,1.2959870967742404,-1.2633333333332644,-9.219631442847179,-9.234832748948028,-9.215983697537252,-9.251181338883143,-9.298846143057466,-0.5556451612903857,-9.313512856474958,-9.329248877980367,-1.7649999999999864,-9.36072092099113,-9.37645694249648,0.21689677419351483,-9.414223394109316,-2.004166666666663,-9.48531220196346,-9.682595523181861,-9.713410822060302,-0.820826612903204,-9.564088036173532,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-04,-6.258318938605584,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-6.265111290322517,-6.373105329593261,-6.251396774193507,-6.540018373071521,-6.453934068823832,-6.725756677018622,-6.740285063113492,-6.835970246443622,-7.060411540773394,-7.314396163093587,-6.816107884779061,-6.878861290322547,-7.859649253030425,-7.855493798837836,3.7652379032257954,-7.947377098777783,-8.074524332548556,-8.062231223702565,-8.115687613955116,-7.460158116545217,-7.400737669094616,-8.344022848627485,-8.297439340813504,-8.323604419204539,-8.418125225405758,-8.415850831496662,-8.446658848427136,-7.764911576482797,-7.816936420395331,-8.520598089060286,-8.573078573933026,-8.61256997720897,-8.650952208976143,-8.627811693548422,-8.657593250350605,-8.116540141717428,-8.189849219562916,0.03941935483874204,-8.756678240833471,1.2300604838709432,-8.83060292025639,-8.811948172961305,-8.826526946002774,-8.455212864203919,-8.484243288241379,-8.943080323331937,-8.910257792777026,-8.961879795193816,-8.941012977108821,-8.97945695752362,-8.65626939200235,-8.722351925078083,-9.04481172422852,1.2959870967742404,-1.2633333333332644,-9.101902002980419,-9.117760413744664,-8.975890868886543,-9.012110718002113,-9.192949859747507,-0.5556451612903857,-9.201062833099549,-9.21772331697055,-1.7649999999999864,-9.251044284712494,-9.267704768583437,0.21689677419351483,-9.307689929873693,-2.004166666666663,-9.381946367461357,-9.45823414498785,-9.490100104058222,-0.820826612903204,-9.464135925227996,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-05,-5.71763492889348,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-6.085335483870905,-6.19549957924263,-5.8441956989246915,-6.384222346891064,-6.294250801442546,-6.564217504842038,-6.5700575035062,-6.666697655780428,-6.914385894610301,-7.149898417150888,-6.437102354262062,-6.503815053763408,-7.722202076237199,-7.696034742536495,3.7652379032257954,-7.792117852133824,-7.945130024043247,-7.912221739130334,-7.966979453015424,-7.122426279049555,-7.0734244190079,-8.221874013223758,-8.153155680224442,-8.182383465237397,-8.29897956321381,-8.27708375075132,-8.308729463033426,-7.465769198751268,-7.521818453000257,-8.384679172510497,-8.449206378147279,-8.492783625525941,-8.534881977559595,-8.494950000000035,-8.52558078541372,-7.840586497200308,-7.917712937911858,0.03941935483874204,-8.6268290522941,1.2300604838709432,-8.716240452814997,-8.685645682227985,-8.699362272089731,-8.195700351196635,-8.226851266042281,-8.831879678421098,-8.785827594670435,-8.851184120166268,-8.817573677619741,-8.857256281306428,-8.408717253852606,-8.47510364203958,-8.924716707573541,1.2959870967742404,-1.2633333333332644,-8.984172563113658,-9.000688078541298,-8.735798040235832,-8.773040097121083,-9.087053576437551,-0.5556451612903857,-9.088612809724141,-9.106197755960732,-1.7649999999999864,-9.141367648433858,-9.158952594670394,0.21689677419351483,-9.20115646563807,-2.004166666666663,-9.278580532959253,-9.23387276679384,-9.266789386056141,-0.820826612903204,-9.36418381428246,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-06,-5.176950919181376,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-5.9055596774192916,-6.0178938288919985,-5.436994623655876,-6.228426320710606,-6.134567534061261,-6.402678332665452,-6.399829943898907,-6.497425065117234,-6.768360248447207,-6.985400671208191,-6.058096823745062,-6.12876881720427,-7.584754899443972,-7.536575686235154,3.7652379032257954,-7.6368586054898655,-7.815735715537938,-7.762212254558105,-7.818271292075732,-6.784694441553892,-6.746111168921184,-8.099725177820032,-8.008872019635382,-8.041162511270256,-8.179833901021865,-8.13831667000598,-8.170800077639718,-7.166626821019738,-7.226700485605184,-8.248760255960708,-8.325334182361532,-8.37299727384291,-8.418811746143044,-8.362088306451646,-8.393568320476833,-7.564632852683188,-7.6455766562608005,0.03941935483874204,-8.49697986375473,1.2300604838709432,-8.601877985373603,-8.559343191494666,-8.57219759817669,-7.936187838189351,-7.969459243843184,-8.720679033510258,-8.661397396563844,-8.740488445138718,-8.694134378130661,-8.735055605089237,-8.161165115702861,-8.227855359001076,-8.804621690918564,1.2959870967742404,-1.2633333333332644,-8.866443123246897,-8.883615743337934,-8.495705211585122,-8.53396947624005,-8.981157293127593,-0.5556451612903857,-8.976162786348732,-8.994672194950915,-1.7649999999999864,-9.031691012155225,-9.050200420757351,0.21689677419351483,-9.094623001402447,-2.004166666666663,-9.17521469845715,-9.00951138859983,-9.04347866805406,-0.820826612903204,-9.264231703336923,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-07,-4.636266909469272,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-5.725783870967679,-5.840288078541368,-5.029793548387059,-6.072630294530149,-5.974884266679974,-6.241139160488868,-6.229602384291615,-6.328152474454041,-6.622334602284114,-6.820902925265493,-5.679091293228062,-5.753722580645131,-7.447307722650746,-7.377116629933814,3.7652379032257954,-7.481599358845907,-7.6863414070326295,-7.612202769985876,-7.669563131136041,-6.44696260405823,-6.418797918834468,-7.977576342416304,-7.864588359046321,-7.899941557303114,-8.06068823882992,-7.999549589260638,-8.032870692246009,-6.867484443288209,-6.93158251821011,-8.112841339410918,-8.201461986575783,-8.25321092215988,-8.302741514726494,-8.22922661290326,-8.261555855539948,-7.288679208166068,-7.373440374609743,0.03941935483874204,-8.36713067521536,1.2300604838709432,-8.48751551793221,-8.433040700761348,-8.445032924263646,-7.6766753251820665,-7.712067221644087,-8.60947838859942,-8.536967198457251,-8.629792770111168,-8.570695078641581,-8.612854928872046,-7.9136129775531145,-7.980607075962572,-8.684526674263585,1.2959870967742404,-1.2633333333332644,-8.748713683380135,-8.766543408134568,-8.255612382934412,-8.29489885535902,-8.875261009817635,-0.5556451612903857,-8.863712762973323,-8.883146633941097,-1.7649999999999864,-8.92201437587659,-8.941448246844306,0.21689677419351483,-8.988089537166822,-2.004166666666663,-9.071848863955047,-8.785150010405818,-8.820167950051982,-0.820826612903204,-9.164279592391388,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-08,-4.095582899757169,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-5.546008064516066,-5.662682328190737,-4.622592473118242,-5.9168342683496915,-5.815200999298689,-6.0795999883122835,-6.059374824684323,-6.158879883790847,-6.47630895612102,-6.656405179322794,-5.3000857627110625,-5.378676344085992,-7.30986054585752,-7.217657573632472,3.7652379032257954,-7.326340112201948,-7.556947098527321,-7.462193285413647,-7.520854970196349,-6.109230766562568,-6.091484668747752,-7.855427507012577,-7.7203046984572605,-7.758720603335973,-7.941542576637975,-7.860782508515296,-7.894941306852301,-6.5683420655566795,-6.636464550815036,-7.97692242286113,-8.077589790790036,-8.133424570476851,-8.186671283309943,-8.09636491935487,-8.129543390603061,-7.012725563648948,-7.101304092958685,0.03941935483874204,-8.23728148667599,1.2300604838709432,-8.373153050490817,-8.306738210028028,-8.317868250350603,-7.417162812174783,-7.45467519944499,-8.49827774368858,-8.41253700035066,-8.519097095083618,-8.447255779152501,-8.490654252654855,-7.66606083940337,-7.7333587929240695,-8.564431657608608,1.2959870967742404,-1.2633333333332644,-8.630984243513375,-8.649471072931204,-8.015519554283701,-8.05582823447799,-8.769364726507678,-0.5556451612903857,-8.751262739597914,-8.77162107293128,-1.7649999999999864,-8.812337739597954,-8.832696072931263,0.21689677419351483,-8.881556072931199,-2.004166666666663,-8.968483029452942,-8.560788632211809,-8.596857232049901,-0.820826612903204,-9.064327481445853,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-09,-3.554898890045064,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-5.3662322580644535,-5.485076577840106,-4.215391397849427,-5.761038242169233,-5.655517731917403,-5.918060816135699,-5.88914726507703,-5.989607293127654,-6.330283309957926,-6.491907433380097,-4.921080232194063,-5.003630107526854,-7.1724133690642935,-7.058198517331132,3.7652379032257954,-7.17108086555799,-7.427552790022011,-7.312183800841417,-7.372146809256657,-5.771498929066906,-5.764171418661036,-7.733278671608851,-7.576021037868199,-7.617499649368831,-7.8223969144460295,-7.722015427769955,-7.757011921458592,-6.26919968782515,-6.341346583419963,-7.841003506311342,-7.953717595004289,-8.01363821879382,-8.070601051893393,-7.963503225806483,-7.997530925666176,-6.7367719191318285,-6.829167811307627,0.03941935483874204,-8.107432298136619,1.2300604838709432,-8.258790583049423,-8.180435719294708,-8.190703576437562,-7.157650299167499,-7.197283177245893,-8.387077098777741,-8.28810680224407,-8.408401420056068,-8.32381647966342,-8.368453576437663,-7.418508701253624,-7.486110509885567,-8.44433664095363,1.2959870967742404,-1.2633333333332644,-8.513254803646614,-8.532398737727839,-7.775426725632991,-7.816757613596961,-8.66346844319772,-0.5556451612903857,-8.638812716222505,-8.660095511921462,-1.7649999999999864,-8.70266110331932,-8.72394389901822,0.21689677419351483,-8.775022608695576,-2.004166666666663,-8.86511719495084,-8.336427254017797,-8.37354651404782,-0.820826612903204,-8.964375370500317,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
2007-05-10,-3.0142148803329603,11.06216129032265,11.018733870967708,9.78425806451611,10.004500000000007,8.954620967741903,9.729013824884703,8.456838709677413,-5.18645645161284,-5.307470827489475,-3.8081903225806104,-5.605242215988776,-5.4958344645361175,-5.756521643959115,-5.718919705469737,-5.820334702464461,-6.184257663794832,-6.327409687437398,-4.542074701677063,-4.628583870967715,-7.034966192271067,-6.89873946102979,3.7652379032257954,-7.015821618914031,-7.298158481516702,-7.162174316269188,-7.223438648316966,-5.4337670915712435,-5.43685816857432,-7.611129836205125,-7.431737377279139,-7.47627869540169,-7.703251252254084,-7.583248347024614,-7.619082536064884,-5.970057310093621,-6.046228616024889,-7.705084589761553,-7.829845399218541,-7.893851867110791,-7.954530820476843,-7.830641532258095,-7.86551846072929,-6.460818274614709,-6.5570315296565695,0.03941935483874204,-7.977583109597249,1.2300604838709432,-8.14442811560803,-8.054133228561389,-8.063538902524519,-6.898137786160215,-6.939891155046796,-8.275876453866903,-8.163676604137478,-8.29770574502852,-8.20037718017434,-8.246252900220473,-7.1709565631038785,-7.238862226847063,-8.324241624298653,1.2959870967742404,-1.2633333333332644,-8.395525363779853,-8.415326402524475,-7.535333896982281,-7.577686992715931,-8.557572159887762,-0.5556451612903857,-8.526362692847098,-8.548569950911645,-1.7649999999999864,-8.592984467040685,-8.615191725105177,0.21689677419351483,-8.66848914445995,-2.004166666666663,-8.761751360448736,-8.112065875823788,-8.150235796045742,-0.820826612903204,-8.86442325955478,-0.858709677419256,-2.434666666666658,-2.6503999999999905,-2.794222222222288,-0.5235080645161929,-2.9739999999999895,-1.1204976958525776,-3.0708571428571645
