Date/LiquidFraction,0.00m,0.01m,0.05m,0.10m,0.15m,0.20m,0.50m,1.00m,2.00m,3.00m,4.99m
5/1/2007 00:00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.00,  0.02,  0.02,  0.02,  0.02
5/2/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02
5/3/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.03,  0.02,  0.02,  0.02,  0.02
5/4/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.03,  0.02,  0.02,  0.02,  0.02
5/5/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/6/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/7/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/8/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/9/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/10/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/11/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/12/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/13/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/14/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/15/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/16/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/17/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.02,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02
5/18/2007 00:00,  0.01,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02
5/19/2007 00:00,  0.02,  0.02,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02
5/20/2007 00:00,  0.02,  0.02,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02
5/21/2007 00:00,  0.03,  0.03,  0.02,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02
5/22/2007 00:00,  0.05,  0.04,  0.02,  0.01,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02
5/23/2007 00:00,  0.09,  0.05,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02,  0.02
5/24/2007 00:00,  0.21,  0.07,  0.03,  0.02,  0.02,  0.02,  0.03,  0.02,  0.02,  0.02,  0.02
5/25/2007 00:00,  0.54,  0.09,  0.03,  0.02,  0.03,  0.02,  0.03,  0.02,  0.02,  0.02,  0.02
5/26/2007 00:00,  1.00,  0.10,  0.03,  0.02,  0.03,  0.02,  0.03,  0.02,  0.02,  0.02,  0.02
5/27/2007 00:00,  1.00,  0.13,  0.03,  0.02,  0.03,  0.02,  0.03,  0.02,  0.02,  0.02,  0.02
5/28/2007 00:00,  1.00,  0.15,  0.04,  0.02,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02
5/29/2007 00:00,  1.00,  0.37,  0.04,  0.02,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02
5/30/2007 00:00,  1.00,  0.83,  0.04,  0.02,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02
5/31/2007 00:00,  1.00,  1.00,  0.04,  0.02,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02
6/1/2007 00:00,  1.00,  1.00,  0.04,  0.02,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02
6/2/2007 00:00,  1.00,  1.00,  0.05,  0.02,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02
6/3/2007 00:00,  1.00,  1.00,  0.05,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/4/2007 00:00,  1.00,  1.00,  0.06,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/5/2007 00:00,  1.00,  1.00,  0.06,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/6/2007 00:00,  1.00,  1.00,  0.07,  0.03,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/7/2007 00:00,  1.00,  1.00,  0.08,  0.03,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/8/2007 00:00,  1.00,  1.00,  0.08,  0.03,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/9/2007 00:00,  1.00,  1.00,  0.10,  0.03,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/10/2007 00:00,  1.00,  1.00,  0.12,  0.03,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02
6/11/2007 00:00,  1.00,  1.00,  0.15,  0.03,  0.04,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/12/2007 00:00,  1.00,  1.00,  0.31,  0.04,  0.04,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/13/2007 00:00,  1.00,  1.00,  0.76,  0.04,  0.04,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/14/2007 00:00,  1.00,  1.00,  1.00,  0.04,  0.04,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/15/2007 00:00,  1.00,  1.00,  1.00,  0.04,  0.04,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/16/2007 00:00,  1.00,  1.00,  1.00,  0.04,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/17/2007 00:00,  1.00,  1.00,  1.00,  0.04,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/18/2007 00:00,  1.00,  1.00,  1.00,  0.05,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/19/2007 00:00,  1.00,  1.00,  1.00,  0.05,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/20/2007 00:00,  1.00,  1.00,  1.00,  0.05,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/21/2007 00:00,  1.00,  1.00,  1.00,  0.05,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/22/2007 00:00,  1.00,  1.00,  1.00,  0.06,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.02
6/23/2007 00:00,  1.00,  1.00,  1.00,  0.06,  0.05,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
6/24/2007 00:00,  1.00,  1.00,  1.00,  0.07,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
6/25/2007 00:00,  1.00,  1.00,  1.00,  0.07,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
6/26/2007 00:00,  1.00,  1.00,  1.00,  0.08,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
6/27/2007 00:00,  1.00,  1.00,  1.00,  0.08,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
6/28/2007 00:00,  1.00,  1.00,  1.00,  0.09,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
6/29/2007 00:00,  1.00,  1.00,  1.00,  0.11,  0.07,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
6/30/2007 00:00,  1.00,  1.00,  1.00,  0.13,  0.07,  0.05,  0.04,  0.03,  0.02,  0.02,  0.02
7/1/2007 00:00,  1.00,  1.00,  1.00,  0.16,  0.07,  0.06,  0.04,  0.03,  0.02,  0.02,  0.02
7/2/2007 00:00,  1.00,  1.00,  1.00,  0.24,  0.07,  0.06,  0.05,  0.03,  0.02,  0.02,  0.02
7/3/2007 00:00,  1.00,  1.00,  1.00,  0.51,  0.07,  0.06,  0.05,  0.03,  0.02,  0.02,  0.02
7/4/2007 00:00,  1.00,  1.00,  1.00,  0.79,  0.08,  0.06,  0.05,  0.03,  0.02,  0.02,  0.02
7/5/2007 00:00,  1.00,  1.00,  1.00,  1.00,  0.08,  0.06,  0.05,  0.03,  0.02,  0.02,  0.02
7/6/2007 00:00,  1.00,  1.00,  1.00,  1.00,  0.08,  0.06,  0.05,  0.03,  0.02,  0.02,  0.02
7/7/2007 00:00,  1.00,  1.00,  1.00,  1.00,  0.09,  0.06,  0.05,  0.03,  0.02,  0.02,  0.02
7/8/2007 00:00,  1.00,  1.00,  1.00,  1.00,  0.09,  0.07,  0.05,  0.03,  0.02,  0.02,  0.02
7/9/2007 00:00,  1.00,  1.00,  1.00,  1.00,  0.09,  0.07,  0.05,  0.03,  0.02,  0.02,  0.02
7/10/2007 00:00,  1.00,  1.00,  1.00,  1.00,  0.09,  0.07,  0.05,  0.03,  0.02,  0.02,  0.02
