Date/Temperature,Air,0.00m,0.01m,0.05m,0.10m,0.15m,0.20m,0.50m,1.00m,2.00m,3.00m,4.99m
5/1/2007 00:00,  -7.88,  -6.91,  -7.01,  -7.50,  -8.27,  -8.56,  -8.78,   0.02,  -3.07,  -3.07,  -3.07,  -3.07
5/2/2007 00:00,  -7.34,  -2.34,  -2.22,  -1.77,  -1.37,  -1.19,  -1.17,  -1.53,  -2.57,  -3.07,  -3.07,  -3.07
5/3/2007 00:00,  -6.80,  -3.06,  -2.96,  -2.58,  -2.17,  -1.85,  -1.75,  -1.73,  -2.44,  -3.04,  -3.07,  -3.07
5/4/2007 00:00,  -6.26,  -3.35,  -3.27,  -2.96,  -2.60,  -2.30,  -2.19,  -1.97,  -2.39,  -3.01,  -3.07,  -3.07
5/5/2007 00:00,  -5.72,  -3.46,  -3.39,  -3.14,  -2.84,  -2.58,  -2.48,  -2.18,  -2.41,  -2.97,  -3.06,  -3.07
5/6/2007 00:00,  -5.18,  -3.46,  -3.41,  -3.21,  -2.96,  -2.74,  -2.66,  -2.36,  -2.45,  -2.94,  -3.06,  -3.07
5/7/2007 00:00,  -4.64,  -3.39,  -3.35,  -3.20,  -3.01,  -2.83,  -2.76,  -2.49,  -2.50,  -2.91,  -3.05,  -3.07
5/8/2007 00:00,  -4.10,  -3.28,  -3.25,  -3.14,  -3.00,  -2.87,  -2.81,  -2.59,  -2.56,  -2.89,  -3.04,  -3.07
5/9/2007 00:00,  -3.55,  -3.13,  -3.11,  -3.05,  -2.95,  -2.86,  -2.82,  -2.65,  -2.61,  -2.88,  -3.02,  -3.07
5/10/2007 00:00,  -3.01,  -2.96,  -2.95,  -2.93,  -2.88,  -2.83,  -2.81,  -2.69,  -2.65,  -2.87,  -3.01,  -3.07
5/11/2007 00:00,  -2.47,  -2.77,  -2.78,  -2.78,  -2.78,  -2.77,  -2.76,  -2.71,  -2.68,  -2.86,  -3.00,  -3.07
5/12/2007 00:00,  -1.93,  -2.57,  -2.58,  -2.63,  -2.67,  -2.69,  -2.70,  -2.71,  -2.71,  -2.86,  -3.00,  -3.07
5/13/2007 00:00,  -1.39,  -2.35,  -2.38,  -2.45,  -2.54,  -2.60,  -2.62,  -2.69,  -2.72,  -2.86,  -2.99,  -3.07
5/14/2007 00:00,  -0.85,  -2.13,  -2.16,  -2.27,  -2.39,  -2.49,  -2.53,  -2.66,  -2.72,  -2.86,  -2.98,  -3.07
5/15/2007 00:00,  -0.31,  -1.90,  -1.94,  -2.08,  -2.24,  -2.37,  -2.43,  -2.61,  -2.72,  -2.86,  -2.98,  -3.06
5/16/2007 00:00,   0.23,  -1.66,  -1.71,  -1.88,  -2.08,  -2.25,  -2.32,  -2.56,  -2.71,  -2.86,  -2.97,  -3.06
5/17/2007 00:00,   0.77,  -1.42,  -1.48,  -1.68,  -1.92,  -2.12,  -2.20,  -2.50,  -2.68,  -2.86,  -2.97,  -3.06
5/18/2007 00:00,   1.31,  -1.18,  -1.24,  -1.48,  -1.75,  -1.98,  -2.07,  -2.43,  -2.66,  -2.86,  -2.96,  -3.06
5/19/2007 00:00,   1.85,  -0.94,  -1.01,  -1.28,  -1.59,  -1.84,  -1.95,  -2.35,  -2.62,  -2.85,  -2.96,  -3.06
5/20/2007 00:00,   2.39,  -0.71,  -0.79,  -1.09,  -1.43,  -1.71,  -1.82,  -2.27,  -2.59,  -2.85,  -2.96,  -3.06
5/21/2007 00:00,   2.93,  -0.50,  -0.59,  -0.91,  -1.27,  -1.58,  -1.70,  -2.19,  -2.54,  -2.84,  -2.95,  -3.05
5/22/2007 00:00,   3.47,  -0.31,  -0.41,  -0.76,  -1.14,  -1.46,  -1.59,  -2.11,  -2.50,  -2.83,  -2.95,  -3.05
5/23/2007 00:00,   4.01,  -0.17,  -0.28,  -0.64,  -1.02,  -1.35,  -1.49,  -2.03,  -2.45,  -2.82,  -2.94,  -3.05
