Date,Surface temperature average weight,Number of cloud free observations
2000-03-01 00:00:00,246,72
2000-04-01 00:00:00,251,63
2000-05-01 00:00:00,261,59
2000-06-01 00:00:00,281,102
2000-07-01 00:00:00,285,71
2000-08-01 00:00:00,281,38
2000-09-01 00:00:00,272,55
2000-10-01 00:00:00,255,63
2000-11-01 00:00:00,250,76
2000-12-01 00:00:00,248,91
2001-01-01 00:00:00,244,93
2001-02-01 00:00:00,246,80
2001-03-01 00:00:00,243,69
2001-04-01 00:00:00,254,73
2001-05-01 00:00:00,261,59
2001-06-01 00:00:00,279,32
2001-07-01 00:00:00,285,62
2001-08-01 00:00:00,278,33
2001-09-01 00:00:00,275,60
2001-10-01 00:00:00,254,41
2001-11-01 00:00:00,249,98
2001-12-01 00:00:00,243,50
2002-01-01 00:00:00,240,125
2002-02-01 00:00:00,241,94
2002-03-01 00:00:00,247,54
2002-04-01 00:00:00,254,57
2002-05-01 00:00:00,269,93
2002-06-01 00:00:00,282,68
2002-07-01 00:00:00,287,182
2002-08-01 00:00:00,280,86
2002-09-01 00:00:00,276,103
2002-10-01 00:00:00,260,120
2002-11-01 00:00:00,255,154
2002-12-01 00:00:00,249,180
2003-01-01 00:00:00,246,229
2003-02-01 00:00:00,241,166
2003-03-01 00:00:00,243,161
2003-04-01 00:00:00,254,152
2003-05-01 00:00:00,265,98
2003-06-01 00:00:00,282,156
2003-07-01 00:00:00,286,90
2003-08-01 00:00:00,279,89
2003-09-01 00:00:00,271,91
2003-10-01 00:00:00,263,114
2003-11-01 00:00:00,249,101
2003-12-01 00:00:00,245,194
2004-01-01 00:00:00,240,244
2004-02-01 00:00:00,237,189
2004-03-01 00:00:00,243,142
2004-04-01 00:00:00,252,203
2004-05-01 00:00:00,266,152
2004-06-01 00:00:00,284,154
2004-07-01 00:00:00,287,124
2004-08-01 00:00:00,284,163
2004-09-01 00:00:00,270,82
2004-10-01 00:00:00,260,146
2004-11-01 00:00:00,250,235
2004-12-01 00:00:00,242,193
2005-01-01 00:00:00,240,164
2005-01-01 00:00:00,240,172
2005-02-01 00:00:00,242,156
2005-03-01 00:00:00,249,181
2005-04-01 00:00:00,256,172
2005-05-01 00:00:00,266,102
2005-06-01 00:00:00,280,165
2005-07-01 00:00:00,283,164
2005-08-01 00:00:00,283,130
2005-09-01 00:00:00,275,98
2005-10-01 00:00:00,261,141
2005-12-01 00:00:00,245,163
2006-01-01 00:00:00,241,115
2006-02-01 00:00:00,246,153
2006-03-01 00:00:00,242,218
2006-04-01 00:00:00,250,131
2006-05-01 00:00:00,266,133
2006-06-01 00:00:00,285,120
2006-07-01 00:00:00,285,168
2006-08-01 00:00:00,280,104
2006-09-01 00:00:00,279,112
2006-10-01 00:00:00,266,107
2006-11-01 00:00:00,245,143
2006-12-01 00:00:00,247,131
2007-01-01 00:00:00,239,184
2007-02-01 00:00:00,243,179
2007-03-01 00:00:00,241,157
2007-04-01 00:00:00,256,166
2007-05-01 00:00:00,262,132
2007-06-01 00:00:00,281,236
2007-07-01 00:00:00,287,238
2007-08-01 00:00:00,284,190
2007-09-01 00:00:00,275,164
2007-10-01 00:00:00,259,125
2007-11-01 00:00:00,252,136
2007-12-01 00:00:00,245,157
2008-01-01 00:00:00,236,220
2008-02-01 00:00:00,239,189
2008-03-01 00:00:00,242,201
2008-04-01 00:00:00,255,121
2008-05-01 00:00:00,268,133
2008-06-01 00:00:00,286,171
2008-07-01 00:00:00,288,179
2008-08-01 00:00:00,279,94
2008-09-01 00:00:00,273,99
2008-10-01 00:00:00,257,86
2008-11-01 00:00:00,252,138
2008-12-01 00:00:00,245,150
2009-01-01 00:00:00,240,215
2009-02-01 00:00:00,241,165
2009-03-01 00:00:00,241,170
2009-04-01 00:00:00,254,184
2009-05-01 00:00:00,267,139
2009-06-01 00:00:00,281,147
2009-07-01 00:00:00,285,181
2009-08-01 00:00:00,280,99
2009-09-01 00:00:00,274,81
2009-10-01 00:00:00,260,124
2009-11-01 00:00:00,249,162
2009-12-01 00:00:00,249,234
2010-01-01 00:00:00,239,207
2010-02-01 00:00:00,243,146
2010-03-01 00:00:00,245,187
2010-04-01 00:00:00,260,149
2010-05-01 00:00:00,265,123
2010-06-01 00:00:00,282,169
