Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,238,138
2007-02-01 00:00:00,244,142
2007-03-01 00:00:00,242,114
2007-04-01 00:00:00,258,107
2007-05-01 00:00:00,262,117
2007-06-01 00:00:00,287,175
2007-07-01 00:00:00,291,181
2007-08-01 00:00:00,285,150
2007-09-01 00:00:00,273,140
2007-10-01 00:00:00,252,99
2007-11-01 00:00:00,253,99
2007-12-01 00:00:00,243,116
2008-01-01 00:00:00,236,105
2008-02-01 00:00:00,242,96
2008-03-01 00:00:00,242,166
2008-04-01 00:00:00,256,71
2008-05-01 00:00:00,269,69
2008-06-01 00:00:00,289,109
2008-07-01 00:00:00,290,101
2008-08-01 00:00:00,280,80
2008-09-01 00:00:00,272,71
2008-10-01 00:00:00,254,45
2008-11-01 00:00:00,245,107
2008-12-01 00:00:00,245,91
2009-01-01 00:00:00,239,123
2009-02-01 00:00:00,241,66
2009-03-01 00:00:00,239,122
2009-04-01 00:00:00,254,127
2009-05-01 00:00:00,270,58
2009-06-01 00:00:00,286,96
2009-07-01 00:00:00,288,100
2009-08-01 00:00:00,280,64
2009-09-01 00:00:00,270,79
2009-10-01 00:00:00,257,88
2009-11-01 00:00:00,242,127
2009-12-01 00:00:00,250,166
2010-01-01 00:00:00,237,152
2010-02-01 00:00:00,242,117
2010-03-01 00:00:00,244,155
2010-04-01 00:00:00,260,102
2010-05-01 00:00:00,266,85
2010-06-01 00:00:00,287,151
2010-07-01 00:00:00,289,75
2010-08-01 00:00:00,284,83
2010-09-01 00:00:00,280,96
2010-10-01 00:00:00,254,127
2010-11-01 00:00:00,252,48
2010-12-01 00:00:00,239,151
2011-01-01 00:00:00,243,148
2011-02-01 00:00:00,246,82
2011-03-01 00:00:00,250,169
2011-04-01 00:00:00,250,147
2011-05-01 00:00:00,270,126
2011-06-01 00:00:00,285,137
2011-07-01 00:00:00,288,102
2011-08-01 00:00:00,282,101
2011-09-01 00:00:00,277,37
2011-10-01 00:00:00,260,49
2011-11-01 00:00:00,238,107
2011-12-01 00:00:00,238,105
2012-01-01 00:00:00,233,103
2012-02-01 00:00:00,244,106
2012-03-01 00:00:00,238,135
2012-04-01 00:00:00,256,142
2012-05-01 00:00:00,267,88
2012-06-01 00:00:00,288,156
2012-07-01 00:00:00,289,89
2012-08-01 00:00:00,284,63
2012-09-01 00:00:00,274,37
2012-10-01 00:00:00,259,61
2012-11-01 00:00:00,244,123
2012-12-01 00:00:00,239,186
2013-01-01 00:00:00,240,197
2013-02-01 00:00:00,236,134
2013-03-01 00:00:00,248,149
2013-04-01 00:00:00,252,113
2013-05-01 00:00:00,266,127
2013-06-01 00:00:00,289,100
2013-07-01 00:00:00,287,73
2013-08-01 00:00:00,281,68
2013-09-01 00:00:00,274,56
2013-10-01 00:00:00,263,80
2013-11-01 00:00:00,247,98
2013-12-01 00:00:00,242,132
