Date,Surface temperature average weight,Number of cloud free observations
2005-02-01 00:00:00,244,20
2005-03-01 00:00:00,243,16
2005-04-01 00:00:00,259,17
2005-05-01 00:00:00,266,24
2005-06-01 00:00:00,278,24
2005-07-01 00:00:00,285,23
2005-08-01 00:00:00,285,18
2005-09-01 00:00:00,270,15
2005-10-01 00:00:00,-999,-999
2005-11-01 00:00:00,-999,-999
2005-12-01 00:00:00,245,18
2006-01-01 00:00:00,243,21
2006-02-01 00:00:00,246,17
2006-03-01 00:00:00,245,29
2006-04-01 00:00:00,252,25
2006-05-01 00:00:00,266,32
2006-06-01 00:00:00,278,23
2006-07-01 00:00:00,284,28
2006-08-01 00:00:00,273,22
2006-09-01 00:00:00,275,21
2006-10-01 00:00:00,262,26
2006-11-01 00:00:00,245,15
2006-12-01 00:00:00,246,14
2007-01-01 00:00:00,242,23
2007-02-01 00:00:00,241,18
2007-03-01 00:00:00,-999,12
2007-04-01 00:00:00,259,14
2007-05-01 00:00:00,267,12
2007-06-01 00:00:00,281,30
2007-07-01 00:00:00,294,27
2007-08-01 00:00:00,288,25
2007-09-01 00:00:00,278,18
2007-10-01 00:00:00,254,32
2007-11-01 00:00:00,253,19
2007-12-01 00:00:00,243,20
2008-01-01 00:00:00,239,14
2008-02-01 00:00:00,243,22
2008-03-01 00:00:00,240,22
2008-04-01 00:00:00,-999,6
2008-05-01 00:00:00,269,13
2008-06-01 00:00:00,286,21
2008-07-01 00:00:00,286,11
2008-08-01 00:00:00,280,15
2008-09-01 00:00:00,271,18
2008-10-01 00:00:00,256,22
2008-11-01 00:00:00,248,14
2008-12-01 00:00:00,249,16
2009-01-01 00:00:00,241,22
2009-02-01 00:00:00,247,13
2009-03-01 00:00:00,241,31
2009-04-01 00:00:00,255,18
2009-05-01 00:00:00,276,15
2009-06-01 00:00:00,282,19
2009-07-01 00:00:00,290,17
2009-08-01 00:00:00,281,11
2009-09-01 00:00:00,270,17
2009-10-01 00:00:00,258,21
2009-11-01 00:00:00,247,20
2009-12-01 00:00:00,251,25
