Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,239,130
2007-02-01 00:00:00,246,105
2007-03-01 00:00:00,242,111
2007-04-01 00:00:00,257,111
2007-05-01 00:00:00,260,100
2007-06-01 00:00:00,286,165
2007-07-01 00:00:00,291,186
2007-08-01 00:00:00,286,160
2007-09-01 00:00:00,274,130
2007-10-01 00:00:00,254,93
2007-11-01 00:00:00,255,92
2007-12-01 00:00:00,246,99
2008-01-01 00:00:00,238,95
2008-02-01 00:00:00,243,99
2008-03-01 00:00:00,244,145
2008-04-01 00:00:00,256,75
2008-05-01 00:00:00,269,65
2008-06-01 00:00:00,289,118
2008-07-01 00:00:00,291,108
2008-08-01 00:00:00,280,70
2008-09-01 00:00:00,271,67
2008-10-01 00:00:00,256,41
2008-11-01 00:00:00,247,108
2008-12-01 00:00:00,249,53
2009-01-01 00:00:00,240,105
2009-02-01 00:00:00,242,70
2009-03-01 00:00:00,241,110
2009-04-01 00:00:00,254,118
2009-05-01 00:00:00,280,30
2009-06-01 00:00:00,285,116
2009-07-01 00:00:00,288,114
2009-08-01 00:00:00,281,72
2009-09-01 00:00:00,272,66
2009-10-01 00:00:00,257,85
2009-11-01 00:00:00,244,105
2009-12-01 00:00:00,252,153
2010-01-01 00:00:00,240,148
2010-02-01 00:00:00,243,120
2010-03-01 00:00:00,245,135
2010-04-01 00:00:00,262,103
2010-05-01 00:00:00,265,70
2010-06-01 00:00:00,286,156
2010-07-01 00:00:00,289,78
2010-08-01 00:00:00,285,91
2010-09-01 00:00:00,280,101
2010-10-01 00:00:00,254,132
2010-11-01 00:00:00,255,49
2010-12-01 00:00:00,241,122
2011-01-01 00:00:00,244,137
2011-02-01 00:00:00,248,63
2011-03-01 00:00:00,252,129
2011-04-01 00:00:00,250,160
2011-05-01 00:00:00,267,93
2011-06-01 00:00:00,286,119
2011-07-01 00:00:00,289,100
2011-08-01 00:00:00,282,109
2011-09-01 00:00:00,278,32
2011-10-01 00:00:00,259,51
2011-11-01 00:00:00,240,100
2011-12-01 00:00:00,240,113
2012-01-01 00:00:00,233,73
2012-02-01 00:00:00,244,102
2012-03-01 00:00:00,238,135
2012-04-01 00:00:00,254,132
2012-05-01 00:00:00,266,71
2012-06-01 00:00:00,289,137
2012-07-01 00:00:00,290,110
2012-08-01 00:00:00,284,66
2012-09-01 00:00:00,275,42
2012-10-01 00:00:00,262,63
2012-11-01 00:00:00,248,90
2012-12-01 00:00:00,240,158
2013-01-01 00:00:00,241,176
2013-02-01 00:00:00,236,152
2013-03-01 00:00:00,246,155
2013-04-01 00:00:00,252,106
2013-05-01 00:00:00,266,119
2013-06-01 00:00:00,289,90
2013-07-01 00:00:00,287,90
2013-08-01 00:00:00,283,68
2013-09-01 00:00:00,275,55
2013-10-01 00:00:00,265,85
2013-11-01 00:00:00,251,90
2013-12-01 00:00:00,244,97
