Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,235,12
2007-01-02 00:00:00,235,12
2007-01-03 00:00:00,235,8
2007-01-04 00:00:00,235,8
2007-01-05 00:00:00,235,7
2007-01-06 00:00:00,236,12
2007-01-07 00:00:00,240,16
2007-01-08 00:00:00,241,15
2007-01-09 00:00:00,241,15
2007-01-10 00:00:00,243,16
2007-01-11 00:00:00,242,20
2007-01-12 00:00:00,242,23
2007-01-13 00:00:00,244,18
2007-01-14 00:00:00,243,11
2007-01-15 00:00:00,243,11
2007-01-16 00:00:00,243,11
2007-01-17 00:00:00,243,8
2007-01-18 00:00:00,246,4
2007-01-19 00:00:00,-999,3
2007-01-20 00:00:00,243,7
2007-01-21 00:00:00,244,8
2007-01-22 00:00:00,244,8
2007-01-23 00:00:00,244,8
2007-01-24 00:00:00,244,9
2007-01-25 00:00:00,244,9
2007-01-26 00:00:00,249,10
2007-01-27 00:00:00,253,8
2007-01-28 00:00:00,255,6
2007-01-29 00:00:00,255,7
2007-01-30 00:00:00,257,11
2007-01-31 00:00:00,257,13
2007-02-01 00:00:00,257,15
2007-02-02 00:00:00,257,17
2007-02-03 00:00:00,255,19
2007-02-04 00:00:00,253,25
2007-02-05 00:00:00,252,26
2007-02-06 00:00:00,250,27
2007-02-07 00:00:00,249,24
2007-02-08 00:00:00,247,27
2007-02-09 00:00:00,245,26
2007-02-10 00:00:00,244,28
2007-02-11 00:00:00,243,23
2007-02-12 00:00:00,242,23
2007-02-13 00:00:00,242,18
2007-02-14 00:00:00,242,18
2007-02-15 00:00:00,242,13
2007-02-16 00:00:00,240,10
2007-02-17 00:00:00,236,5
2007-02-18 00:00:00,235,5
2007-02-19 00:00:00,235,3
2007-02-20 00:00:00,235,3
2007-02-21 00:00:00,235,3
2007-02-22 00:00:00,236,4
2007-02-23 00:00:00,237,4
2007-02-24 00:00:00,238,4
2007-02-25 00:00:00,238,3
2007-02-26 00:00:00,238,3
2007-02-27 00:00:00,238,3
2007-02-28 00:00:00,238,3
2007-03-01 00:00:00,-999,2
2007-03-02 00:00:00,256,1
2007-03-03 00:00:00,-999,-999
2007-03-04 00:00:00,-999,1
2007-03-05 00:00:00,-999,3
2007-03-06 00:00:00,-999,3
2007-03-07 00:00:00,-999,3
2007-03-08 00:00:00,-999,3
2007-03-09 00:00:00,252,3
2007-03-10 00:00:00,-999,3
2007-03-11 00:00:00,-999,2
2007-03-12 00:00:00,241,2
2007-03-13 00:00:00,240,4
2007-03-14 00:00:00,240,4
2007-03-15 00:00:00,239,6
2007-03-16 00:00:00,239,10
2007-03-17 00:00:00,238,12
2007-03-18 00:00:00,238,13
2007-03-19 00:00:00,238,13
2007-03-20 00:00:00,237,11
2007-03-21 00:00:00,237,11
2007-03-22 00:00:00,244,16
2007-03-23 00:00:00,245,12
2007-03-24 00:00:00,247,10
2007-03-25 00:00:00,251,13
2007-03-26 00:00:00,255,15
2007-03-27 00:00:00,255,19
2007-03-29 00:00:00,-999,15
2007-03-30 00:00:00,256,16
2007-03-31 00:00:00,-999,17
2007-04-01 00:00:00,262,14
2007-04-02 00:00:00,260,12
2007-04-03 00:00:00,253,11
2007-04-04 00:00:00,253,14
2007-04-05 00:00:00,252,13
2007-04-06 00:00:00,252,16
2007-04-07 00:00:00,252,16
2007-04-08 00:00:00,252,16
2007-04-09 00:00:00,261,16
2007-04-10 00:00:00,255,14
2007-04-11 00:00:00,256,15
2007-04-12 00:00:00,259,17
2007-04-13 00:00:00,259,18
2007-04-14 00:00:00,260,17
2007-04-15 00:00:00,260,16
2007-04-16 00:00:00,261,15
2007-04-17 00:00:00,262,15
2007-04-18 00:00:00,263,9
2007-04-19 00:00:00,256,9
2007-04-20 00:00:00,262,7
2007-04-21 00:00:00,261,7
2007-04-22 00:00:00,261,8
2007-04-23 00:00:00,260,7
2007-04-24 00:00:00,260,7
2007-04-25 00:00:00,259,8
2007-04-26 00:00:00,-999,7
2007-04-27 00:00:00,260,5
2007-04-28 00:00:00,260,11
2007-04-29 00:00:00,256,10
2007-04-30 00:00:00,254,10
2007-05-01 00:00:00,266,9
2007-05-02 00:00:00,271,8
2007-05-03 00:00:00,261,10
2007-05-04 00:00:00,262,10
2007-05-05 00:00:00,262,4
2007-05-06 00:00:00,261,4
2007-05-07 00:00:00,261,6
2007-05-08 00:00:00,261,6
2007-05-09 00:00:00,276,6
2007-05-10 00:00:00,260,9
2007-05-11 00:00:00,260,9
2007-05-12 00:00:00,260,9
2007-05-13 00:00:00,261,9
2007-05-14 00:00:00,264,7
2007-05-15 00:00:00,264,13
2007-05-16 00:00:00,265,15
2007-05-17 00:00:00,265,9
2007-05-18 00:00:00,266,8
2007-05-19 00:00:00,260,9
2007-05-20 00:00:00,266,9
2007-05-21 00:00:00,264,10
2007-05-22 00:00:00,-999,4
2007-05-23 00:00:00,-999,2
2007-05-24 00:00:00,268,2
2007-05-25 00:00:00,268,6
2007-05-26 00:00:00,268,5
2007-05-27 00:00:00,270,5
2007-05-28 00:00:00,271,6
2007-05-29 00:00:00,261,8
2007-05-30 00:00:00,270,9
2007-05-31 00:00:00,261,10
2007-06-01 00:00:00,277,8
2007-06-02 00:00:00,279,8
2007-06-03 00:00:00,273,8
2007-06-04 00:00:00,272,7
2007-06-05 00:00:00,272,5
2007-06-06 00:00:00,274,4
2007-06-07 00:00:00,-999,3
2007-06-08 00:00:00,-999,1
2007-06-09 00:00:00,282,2
2007-06-10 00:00:00,276,4
2007-06-11 00:00:00,275,4
2007-06-12 00:00:00,275,5
2007-06-13 00:00:00,275,6
2007-06-14 00:00:00,275,7
2007-06-15 00:00:00,276,9
2007-06-16 00:00:00,276,8
2007-06-17 00:00:00,276,8
2007-06-18 00:00:00,277,11
2007-06-19 00:00:00,272,10
2007-06-20 00:00:00,277,9
2007-06-21 00:00:00,277,8
2007-06-22 00:00:00,277,6
2007-06-23 00:00:00,277,6
2007-06-24 00:00:00,-999,6
2007-06-25 00:00:00,-999,2
2007-06-26 00:00:00,279,5
2007-06-27 00:00:00,279,11
2007-06-28 00:00:00,279,14
2007-06-29 00:00:00,272,15
2007-06-30 00:00:00,272,18
2007-07-01 00:00:00,-999,21
2007-07-02 00:00:00,-999,23
2007-07-03 00:00:00,281,20
2007-07-04 00:00:00,281,14
2007-07-05 00:00:00,281,12
2007-07-06 00:00:00,281,11
2007-07-07 00:00:00,281,12
2007-07-08 00:00:00,282,12
2007-07-09 00:00:00,281,10
2007-07-10 00:00:00,283,10
2007-07-11 00:00:00,283,17
2007-07-12 00:00:00,283,16
2007-07-13 00:00:00,283,16
2007-07-14 00:00:00,284,12
2007-07-15 00:00:00,284,7
2007-07-16 00:00:00,284,7
2007-07-17 00:00:00,-999,7
2007-07-18 00:00:00,-999,-999
2007-07-19 00:00:00,280,1
2007-07-20 00:00:00,-999,1
2007-07-21 00:00:00,-999,1
2007-07-22 00:00:00,279,2
2007-07-23 00:00:00,281,3
2007-07-24 00:00:00,281,4
2007-07-25 00:00:00,280,4
2007-07-26 00:00:00,280,3
2007-07-27 00:00:00,280,3
2007-07-28 00:00:00,-999,3
2007-07-29 00:00:00,280,2
2007-07-30 00:00:00,-999,1
2007-07-31 00:00:00,280,1
2007-08-01 00:00:00,278,3
2007-08-02 00:00:00,-999,7
2007-08-03 00:00:00,280,10
2007-08-04 00:00:00,280,16
2007-08-05 00:00:00,280,23
2007-08-06 00:00:00,281,23
2007-08-07 00:00:00,281,22
2007-08-08 00:00:00,281,20
2007-08-09 00:00:00,278,16
2007-08-10 00:00:00,281,13
2007-08-11 00:00:00,-999,7
2007-08-12 00:00:00,-999,1
2007-08-13 00:00:00,276,1
2007-08-14 00:00:00,277,2
2007-08-15 00:00:00,278,7
2007-08-16 00:00:00,278,11
2007-08-17 00:00:00,278,12
2007-08-18 00:00:00,278,18
2007-08-19 00:00:00,277,17
2007-08-20 00:00:00,279,17
2007-08-21 00:00:00,278,17
2007-08-22 00:00:00,277,13
2007-08-23 00:00:00,278,11
2007-08-24 00:00:00,277,11
2007-08-25 00:00:00,277,5
2007-08-26 00:00:00,277,5
2007-08-27 00:00:00,277,5
2007-08-28 00:00:00,278,4
2007-08-29 00:00:00,278,4
2007-08-30 00:00:00,-999,2
2007-08-31 00:00:00,279,1
2007-09-01 00:00:00,273,1
2007-09-02 00:00:00,-999,1
2007-09-03 00:00:00,277,2
2007-09-04 00:00:00,277,3
2007-09-05 00:00:00,277,4
2007-09-06 00:00:00,277,4
2007-09-07 00:00:00,277,4
2007-09-08 00:00:00,277,4
2007-09-09 00:00:00,234,4
2007-09-10 00:00:00,-999,3
2007-09-11 00:00:00,275,4
2007-09-12 00:00:00,275,6
2007-09-13 00:00:00,275,9
2007-09-14 00:00:00,275,9
2007-09-15 00:00:00,275,10
2007-09-16 00:00:00,275,11
2007-09-17 00:00:00,274,11
2007-09-18 00:00:00,273,12
2007-09-19 00:00:00,-999,8
2007-09-20 00:00:00,272,5
2007-09-21 00:00:00,272,6
2007-09-22 00:00:00,272,5
2007-09-23 00:00:00,272,4
2007-09-24 00:00:00,-999,4
2007-09-25 00:00:00,-999,1
