Date,Surface temperature average weight,Number of cloud free observations
2005-02-01 00:00:00,245,20
2005-03-01 00:00:00,248,24
2005-04-01 00:00:00,261,9
2005-05-01 00:00:00,267,19
2005-06-01 00:00:00,271,12
2005-07-01 00:00:00,282,3
2005-08-01 00:00:00,273,10
2005-09-01 00:00:00,264,15
2005-10-01 00:00:00,-999,-999
2005-11-01 00:00:00,-999,-999
2005-12-01 00:00:00,249,18
2006-01-01 00:00:00,246,28
2006-02-01 00:00:00,252,12
2006-03-01 00:00:00,246,34
2006-04-01 00:00:00,252,25
2006-05-01 00:00:00,266,33
2006-06-01 00:00:00,272,25
2006-07-01 00:00:00,276,26
2006-08-01 00:00:00,273,22
2006-09-01 00:00:00,274,15
2006-10-01 00:00:00,264,26
2006-11-01 00:00:00,252,13
2006-12-01 00:00:00,250,20
2007-01-01 00:00:00,244,24
2007-02-01 00:00:00,244,18
2007-03-01 00:00:00,250,16
2007-04-01 00:00:00,255,12
2007-05-01 00:00:00,-999,12
2007-06-01 00:00:00,272,8
2007-07-01 00:00:00,287,6
2007-08-01 00:00:00,-999,12
2007-09-01 00:00:00,-999,10
2007-10-01 00:00:00,261,24
2007-11-01 00:00:00,258,18
2007-12-01 00:00:00,248,24
2008-01-01 00:00:00,239,18
2008-02-01 00:00:00,245,19
2008-03-01 00:00:00,243,26
2008-04-01 00:00:00,253,7
2008-05-01 00:00:00,270,16
2008-06-01 00:00:00,280,8
2008-07-01 00:00:00,283,5
2008-08-01 00:00:00,-999,8
2008-09-01 00:00:00,-999,11
2008-10-01 00:00:00,258,18
2008-11-01 00:00:00,254,14
2008-12-01 00:00:00,246,18
2009-01-01 00:00:00,242,19
2009-02-01 00:00:00,247,18
2009-03-01 00:00:00,242,28
2009-04-01 00:00:00,253,23
2009-05-01 00:00:00,271,16
2009-06-01 00:00:00,275,8
2009-07-01 00:00:00,271,4
2009-08-01 00:00:00,-999,4
2009-09-01 00:00:00,268,10
2009-10-01 00:00:00,261,17
2009-11-01 00:00:00,251,17
2009-12-01 00:00:00,252,25
