Date,Surface temperature average weight,Number of cloud free observations
2000-03-01 00:00:00,247,75
2000-04-01 00:00:00,251,65
2000-05-01 00:00:00,259,41
2000-06-01 00:00:00,278,95
2000-07-01 00:00:00,281,62
2000-08-01 00:00:00,278,32
2000-09-01 00:00:00,272,39
2000-10-01 00:00:00,258,53
2000-11-01 00:00:00,252,74
2000-12-01 00:00:00,249,96
2001-01-01 00:00:00,244,73
2001-02-01 00:00:00,247,92
2001-03-01 00:00:00,242,64
2001-04-01 00:00:00,254,80
2001-05-01 00:00:00,261,56
2001-06-01 00:00:00,275,39
2001-07-01 00:00:00,280,68
2001-08-01 00:00:00,276,32
2001-09-01 00:00:00,275,39
2001-10-01 00:00:00,256,42
2001-11-01 00:00:00,251,95
2001-12-01 00:00:00,242,51
2002-01-01 00:00:00,241,129
2002-02-01 00:00:00,242,114
2002-03-01 00:00:00,247,49
2002-04-01 00:00:00,254,62
2002-05-01 00:00:00,270,87
2002-06-01 00:00:00,280,58
2002-07-01 00:00:00,283,184
2002-08-01 00:00:00,280,67
2002-09-01 00:00:00,275,76
2002-10-01 00:00:00,262,86
2002-11-01 00:00:00,255,145
2002-12-01 00:00:00,250,147
2003-01-01 00:00:00,248,219
2003-02-01 00:00:00,241,176
2003-03-01 00:00:00,245,162
2003-04-01 00:00:00,254,151
2003-05-01 00:00:00,264,86
2003-06-01 00:00:00,277,131
2003-07-01 00:00:00,283,109
2003-08-01 00:00:00,277,68
2003-09-01 00:00:00,270,78
2003-10-01 00:00:00,264,79
2003-11-01 00:00:00,252,61
2003-12-01 00:00:00,248,177
2004-01-01 00:00:00,243,227
2004-02-01 00:00:00,238,219
2004-03-01 00:00:00,242,157
2004-04-01 00:00:00,253,206
2004-05-01 00:00:00,265,163
2004-06-01 00:00:00,278,178
2004-07-01 00:00:00,283,135
2004-08-01 00:00:00,281,154
2004-09-01 00:00:00,270,71
2004-10-01 00:00:00,261,116
2004-11-01 00:00:00,251,193
2004-12-01 00:00:00,245,173
2005-01-01 00:00:00,242,163
2005-01-01 00:00:00,240,141
2005-02-01 00:00:00,243,169
2005-03-01 00:00:00,248,221
2005-04-01 00:00:00,256,177
2005-05-01 00:00:00,265,114
2005-06-01 00:00:00,277,136
2005-07-01 00:00:00,280,186
2005-08-01 00:00:00,279,106
2005-09-01 00:00:00,272,80
2005-10-01 00:00:00,262,59
2005-12-01 00:00:00,247,128
2006-01-01 00:00:00,243,129
2006-02-01 00:00:00,246,146
2006-03-01 00:00:00,244,231
2006-04-01 00:00:00,250,131
2006-05-01 00:00:00,266,134
2006-06-01 00:00:00,281,122
2006-07-01 00:00:00,282,164
2006-08-01 00:00:00,277,86
2006-09-01 00:00:00,277,89
2006-10-01 00:00:00,264,92
2006-11-01 00:00:00,251,88
2006-12-01 00:00:00,248,111
2007-01-01 00:00:00,240,171
2007-02-01 00:00:00,245,190
2007-03-01 00:00:00,242,140
2007-04-01 00:00:00,257,144
2007-05-01 00:00:00,263,90
2007-06-01 00:00:00,276,207
2007-07-01 00:00:00,283,183
2007-08-01 00:00:00,281,184
2007-09-01 00:00:00,275,118
2007-10-01 00:00:00,261,80
2007-11-01 00:00:00,257,93
2007-12-01 00:00:00,247,140
2008-01-01 00:00:00,238,203
2008-02-01 00:00:00,241,187
2008-03-01 00:00:00,242,236
2008-04-01 00:00:00,256,128
2008-05-01 00:00:00,269,102
2008-06-01 00:00:00,281,188
2008-07-01 00:00:00,283,169
2008-08-01 00:00:00,278,70
2008-09-01 00:00:00,272,102
2008-10-01 00:00:00,259,77
2008-11-01 00:00:00,253,123
2008-12-01 00:00:00,248,137
2009-01-01 00:00:00,240,262
2009-02-01 00:00:00,240,173
2009-03-01 00:00:00,241,212
2009-04-01 00:00:00,254,180
2009-05-01 00:00:00,267,136
2009-06-01 00:00:00,277,100
2009-07-01 00:00:00,280,145
2009-08-01 00:00:00,280,84
2009-09-01 00:00:00,275,74
2009-10-01 00:00:00,262,105
2009-11-01 00:00:00,252,96
2009-12-01 00:00:00,250,204
2010-01-01 00:00:00,240,198
2010-02-01 00:00:00,243,147
2010-03-01 00:00:00,246,192
2010-04-01 00:00:00,259,166
2010-05-01 00:00:00,264,90
2010-06-01 00:00:00,277,153
2010-07-01 00:00:00,283,151
2010-08-01 00:00:00,282,108
2010-09-01 00:00:00,276,119
2010-10-01 00:00:00,263,105
2010-11-01 00:00:00,258,54
2010-12-01 00:00:00,240,102
2011-01-01 00:00:00,243,97
2011-02-01 00:00:00,244,75
2011-03-01 00:00:00,247,126
2011-04-01 00:00:00,251,101
2011-05-01 00:00:00,267,81
2011-06-01 00:00:00,279,61
2011-07-01 00:00:00,283,57
2011-08-01 00:00:00,280,52
2011-09-01 00:00:00,275,40
2011-10-01 00:00:00,262,55
2011-11-01 00:00:00,244,50
2011-12-01 00:00:00,240,85
2012-01-01 00:00:00,236,118
2012-02-01 00:00:00,242,90
2012-03-01 00:00:00,238,148
2012-04-01 00:00:00,254,66
2012-05-01 00:00:00,267,46
2012-06-01 00:00:00,281,64
2012-07-01 00:00:00,284,66
2012-08-01 00:00:00,281,40
2012-09-01 00:00:00,274,33
2012-10-01 00:00:00,263,65
2012-11-01 00:00:00,250,43
2012-12-01 00:00:00,242,123
2013-01-01 00:00:00,243,247
2013-02-01 00:00:00,239,215
2013-03-01 00:00:00,248,203
2013-04-01 00:00:00,251,183
2013-05-01 00:00:00,264,169
2013-06-01 00:00:00,280,131
2013-07-01 00:00:00,282,155
2013-08-01 00:00:00,282,114
2013-09-01 00:00:00,270,85
2013-10-01 00:00:00,263,144
2013-11-01 00:00:00,252,148
2013-12-01 00:00:00,246,178
