Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,239,114
2007-02-01 00:00:00,246,113
2007-03-01 00:00:00,243,86
2007-04-01 00:00:00,257,84
2007-05-01 00:00:00,262,43
2007-06-01 00:00:00,282,54
2007-07-01 00:00:00,285,136
2007-08-01 00:00:00,283,125
2007-09-01 00:00:00,276,66
2007-10-01 00:00:00,262,49
2007-11-01 00:00:00,255,65
2007-12-01 00:00:00,250,81
2008-01-01 00:00:00,238,117
2008-02-01 00:00:00,239,109
2008-03-01 00:00:00,243,142
2008-04-01 00:00:00,255,73
2008-05-01 00:00:00,270,55
2008-06-01 00:00:00,285,97
2008-07-01 00:00:00,286,114
2008-08-01 00:00:00,280,44
2008-09-01 00:00:00,273,54
2008-10-01 00:00:00,258,32
2008-11-01 00:00:00,253,65
2008-12-01 00:00:00,249,81
2009-01-01 00:00:00,240,155
2009-02-01 00:00:00,240,97
2009-03-01 00:00:00,241,109
2009-04-01 00:00:00,255,125
2009-05-01 00:00:00,268,95
2009-06-01 00:00:00,280,28
2009-07-01 00:00:00,283,89
2009-08-01 00:00:00,281,52
2009-09-01 00:00:00,278,42
2009-10-01 00:00:00,261,44
2009-11-01 00:00:00,251,56
2009-12-01 00:00:00,250,136
2010-01-01 00:00:00,239,156
2010-02-01 00:00:00,242,77
2010-03-01 00:00:00,246,128
2010-04-01 00:00:00,258,95
2010-05-01 00:00:00,263,42
2010-06-01 00:00:00,280,37
2010-07-01 00:00:00,285,87
2010-08-01 00:00:00,284,54
2010-09-01 00:00:00,278,50
2010-10-01 00:00:00,261,55
2010-11-01 00:00:00,253,50
2010-12-01 00:00:00,239,131
2011-01-01 00:00:00,241,129
2011-02-01 00:00:00,244,96
2011-03-01 00:00:00,247,174
2011-04-01 00:00:00,251,105
2011-05-01 00:00:00,265,109
2011-06-01 00:00:00,281,65
2011-07-01 00:00:00,286,73
2011-08-01 00:00:00,281,76
2011-09-01 00:00:00,278,19
2011-10-01 00:00:00,259,44
2011-11-01 00:00:00,244,67
2011-12-01 00:00:00,239,109
2012-01-01 00:00:00,235,125
2012-02-01 00:00:00,239,76
2012-03-01 00:00:00,238,143
2012-04-01 00:00:00,254,72
2012-05-01 00:00:00,268,62
2012-06-01 00:00:00,286,53
2012-07-01 00:00:00,287,117
2012-08-01 00:00:00,283,68
2012-09-01 00:00:00,276,33
2012-10-01 00:00:00,262,62
2012-11-01 00:00:00,249,66
2012-12-01 00:00:00,242,146
2013-01-01 00:00:00,244,140
2013-02-01 00:00:00,239,123
2013-03-01 00:00:00,248,104
2013-04-01 00:00:00,251,119
2013-05-01 00:00:00,264,108
2013-06-01 00:00:00,283,46
2013-07-01 00:00:00,284,101
2013-08-01 00:00:00,282,65
2013-09-01 00:00:00,271,38
2013-10-01 00:00:00,263,90
2013-11-01 00:00:00,250,89
2013-12-01 00:00:00,244,128
