Date,Surface temperature average weight,Number of cloud free observations
2007-10-01 00:00:00,-999,7
2007-10-02 00:00:00,-999,8
2007-10-03 00:00:00,266,10
2007-10-04 00:00:00,265,11
2007-10-05 00:00:00,265,8
2007-10-06 00:00:00,265,6
2007-10-07 00:00:00,265,5
2007-10-08 00:00:00,265,5
2007-10-09 00:00:00,265,5
2007-10-10 00:00:00,-999,3
2007-10-11 00:00:00,-999,2
2007-10-12 00:00:00,-999,2
2007-10-13 00:00:00,-999,2
2007-10-14 00:00:00,264,7
2007-10-15 00:00:00,263,8
2007-10-16 00:00:00,264,7
2007-10-17 00:00:00,264,7
2007-10-18 00:00:00,262,10
2007-10-19 00:00:00,262,11
2007-10-20 00:00:00,261,13
2007-10-21 00:00:00,259,8
2007-10-22 00:00:00,258,7
2007-10-23 00:00:00,258,8
2007-10-24 00:00:00,258,10
2007-10-25 00:00:00,259,7
2007-10-26 00:00:00,258,7
2007-10-27 00:00:00,258,7
2007-10-28 00:00:00,258,7
2007-10-29 00:00:00,258,7
2007-10-30 00:00:00,258,7
2007-10-31 00:00:00,257,5
2007-11-01 00:00:00,257,7
2007-11-02 00:00:00,257,6
2007-11-03 00:00:00,257,4
2007-11-04 00:00:00,257,4
2007-11-05 00:00:00,256,4
2007-11-06 00:00:00,258,4
2007-11-07 00:00:00,258,4
2007-11-08 00:00:00,259,3
2007-11-09 00:00:00,259,3
2007-11-10 00:00:00,259,3
2007-11-11 00:00:00,259,3
2007-11-12 00:00:00,-999,3
2007-11-13 00:00:00,253,3
2007-11-14 00:00:00,254,5
2007-11-15 00:00:00,255,5
2007-11-16 00:00:00,255,5
2007-11-17 00:00:00,255,5
2007-11-18 00:00:00,257,7
2007-11-19 00:00:00,259,16
2007-11-20 00:00:00,260,24
2007-11-21 00:00:00,259,25
2007-11-22 00:00:00,259,25
2007-11-23 00:00:00,259,27
2007-11-24 00:00:00,259,30
2007-11-25 00:00:00,259,29
2007-11-26 00:00:00,259,19
2007-11-27 00:00:00,259,20
2007-11-28 00:00:00,259,24
2007-11-29 00:00:00,257,32
2007-11-30 00:00:00,256,34
2007-12-01 00:00:00,256,34
2007-12-02 00:00:00,256,38
2007-12-03 00:00:00,256,38
2007-12-04 00:00:00,254,28
2007-12-05 00:00:00,254,24
2007-12-06 00:00:00,256,18
2007-12-07 00:00:00,257,15
2007-12-08 00:00:00,256,13
2007-12-09 00:00:00,255,8
2007-12-10 00:00:00,255,8
2007-12-11 00:00:00,255,8
2007-12-12 00:00:00,254,5
2007-12-13 00:00:00,249,3
2007-12-14 00:00:00,240,4
2007-12-15 00:00:00,237,7
2007-12-16 00:00:00,240,11
2007-12-17 00:00:00,243,19
2007-12-18 00:00:00,243,19
2007-12-19 00:00:00,243,19
2007-12-20 00:00:00,243,18
2007-12-21 00:00:00,244,17
2007-12-22 00:00:00,247,13
2007-12-23 00:00:00,247,9
2007-12-24 00:00:00,-999,1
2007-12-25 00:00:00,-999,1
2007-12-26 00:00:00,-999,1
2007-12-27 00:00:00,-999,1
