Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,240,103
2007-02-01 00:00:00,250,83
2007-03-01 00:00:00,244,51
2007-04-01 00:00:00,256,76
2007-05-01 00:00:00,261,46
2007-06-01 00:00:00,277,128
2007-07-01 00:00:00,282,117
2007-08-01 00:00:00,280,128
2007-09-01 00:00:00,274,61
2007-10-01 00:00:00,263,39
2007-11-01 00:00:00,258,54
2007-12-01 00:00:00,251,75
2008-01-01 00:00:00,241,92
2008-02-01 00:00:00,242,82
2008-03-01 00:00:00,245,125
2008-04-01 00:00:00,256,69
2008-05-01 00:00:00,270,68
2008-06-01 00:00:00,281,135
2008-07-01 00:00:00,282,104
2008-08-01 00:00:00,277,26
2008-09-01 00:00:00,272,46
2008-10-01 00:00:00,260,24
2008-11-01 00:00:00,255,51
2008-12-01 00:00:00,250,78
2009-01-01 00:00:00,243,133
2009-02-01 00:00:00,242,71
2009-03-01 00:00:00,243,95
2009-04-01 00:00:00,254,125
2009-05-01 00:00:00,267,76
2009-06-01 00:00:00,277,50
2009-07-01 00:00:00,280,82
2009-08-01 00:00:00,279,51
2009-09-01 00:00:00,275,38
2009-10-01 00:00:00,265,34
2009-11-01 00:00:00,253,41
2009-12-01 00:00:00,250,125
2010-01-01 00:00:00,241,114
2010-02-01 00:00:00,244,72
2010-03-01 00:00:00,247,125
2010-04-01 00:00:00,258,98
2010-05-01 00:00:00,262,51
2010-06-01 00:00:00,278,80
2010-07-01 00:00:00,282,81
2010-08-01 00:00:00,280,63
2010-09-01 00:00:00,276,48
2010-10-01 00:00:00,262,50
2010-11-01 00:00:00,254,43
2010-12-01 00:00:00,241,103
2011-01-01 00:00:00,244,122
2011-02-01 00:00:00,244,87
2011-03-01 00:00:00,248,173
2011-04-01 00:00:00,251,154
2011-05-01 00:00:00,265,113
2011-06-01 00:00:00,279,89
2011-07-01 00:00:00,282,88
2011-08-01 00:00:00,278,55
2011-09-01 00:00:00,275,23
2011-10-01 00:00:00,260,36
2011-11-01 00:00:00,247,49
2011-12-01 00:00:00,240,104
2012-01-01 00:00:00,235,90
2012-02-01 00:00:00,242,72
2012-03-01 00:00:00,239,123
2012-04-01 00:00:00,254,87
2012-05-01 00:00:00,266,43
2012-06-01 00:00:00,281,90
2012-07-01 00:00:00,283,110
2012-08-01 00:00:00,281,61
2012-09-01 00:00:00,274,41
2012-10-01 00:00:00,263,40
2012-11-01 00:00:00,251,49
2012-12-01 00:00:00,244,131
2013-01-01 00:00:00,245,145
2013-02-01 00:00:00,239,125
2013-03-01 00:00:00,248,126
2013-04-01 00:00:00,250,131
2013-05-01 00:00:00,263,117
2013-06-01 00:00:00,279,73
2013-07-01 00:00:00,280,91
2013-08-01 00:00:00,280,62
2013-09-01 00:00:00,272,27
2013-10-01 00:00:00,265,67
2013-11-01 00:00:00,254,87
2013-12-01 00:00:00,248,96
