Date,Surface temperature average weight,Number of cloud free observations
2000-03-01 00:00:00,242,81
2000-04-01 00:00:00,251,65
2000-05-01 00:00:00,262,60
2000-06-01 00:00:00,282,108
2000-07-01 00:00:00,285,73
2000-08-01 00:00:00,282,42
2000-09-01 00:00:00,271,53
2000-10-01 00:00:00,254,70
2000-11-01 00:00:00,248,73
2000-12-01 00:00:00,243,109
2001-01-01 00:00:00,241,85
2001-02-01 00:00:00,248,84
2001-03-01 00:00:00,242,81
2001-04-01 00:00:00,253,72
2001-05-01 00:00:00,260,67
2001-06-01 00:00:00,278,37
2001-07-01 00:00:00,285,76
2001-08-01 00:00:00,280,46
2001-09-01 00:00:00,277,68
2001-10-01 00:00:00,251,47
2001-11-01 00:00:00,248,101
2001-12-01 00:00:00,240,70
2002-01-01 00:00:00,239,108
2002-02-01 00:00:00,241,92
2002-03-01 00:00:00,244,60
2002-04-01 00:00:00,254,52
2002-05-01 00:00:00,272,99
2002-06-01 00:00:00,285,70
2002-07-01 00:00:00,287,174
2002-08-01 00:00:00,279,82
2002-09-01 00:00:00,272,115
2002-10-01 00:00:00,259,144
2002-11-01 00:00:00,253,164
2002-12-01 00:00:00,246,188
2003-01-01 00:00:00,245,244
2003-02-01 00:00:00,240,156
2003-03-01 00:00:00,243,167
2003-04-01 00:00:00,255,164
2003-05-01 00:00:00,265,123
2003-06-01 00:00:00,283,214
2003-07-01 00:00:00,287,94
2003-08-01 00:00:00,279,99
2003-09-01 00:00:00,268,108
2003-10-01 00:00:00,262,114
2003-11-01 00:00:00,247,107
2003-12-01 00:00:00,241,207
2004-01-01 00:00:00,238,248
2004-02-01 00:00:00,236,154
2004-03-01 00:00:00,241,143
2004-04-01 00:00:00,253,233
2004-05-01 00:00:00,267,168
2004-06-01 00:00:00,286,223
2004-07-01 00:00:00,289,108
2004-08-01 00:00:00,284,168
2004-09-01 00:00:00,268,89
2004-10-01 00:00:00,258,167
2004-11-01 00:00:00,247,218
2004-12-01 00:00:00,240,210
2005-01-01 00:00:00,240,157
2005-01-01 00:00:00,241,168
2005-02-01 00:00:00,240,159
2005-03-01 00:00:00,248,168
2005-04-01 00:00:00,257,171
2005-05-01 00:00:00,267,118
2005-06-01 00:00:00,282,199
2005-07-01 00:00:00,284,179
2005-08-01 00:00:00,283,136
2005-09-01 00:00:00,275,107
2005-10-01 00:00:00,259,148
2005-12-01 00:00:00,243,190
2006-01-01 00:00:00,239,177
2006-02-01 00:00:00,247,136
2006-03-01 00:00:00,243,228
2006-04-01 00:00:00,250,139
2006-05-01 00:00:00,266,148
2006-06-01 00:00:00,285,132
2006-07-01 00:00:00,286,164
2006-08-01 00:00:00,280,90
2006-09-01 00:00:00,279,127
2006-10-01 00:00:00,265,117
2006-11-01 00:00:00,244,158
2006-12-01 00:00:00,246,125
2007-01-01 00:00:00,239,188
2007-02-01 00:00:00,244,176
2007-03-01 00:00:00,241,165
2007-04-01 00:00:00,256,185
2007-05-01 00:00:00,261,151
2007-06-01 00:00:00,284,262
